# Energy	Energy^2	Magnetic	Magnet^2	Cycles
-0.746594	0.557402	0.042969	0.001846	79
-0.731907	0.535687	0.027344	0.000748	39
-0.743006	0.552058	0.082031	0.006729	39
-0.756823	0.572781	0.054688	0.002991	34
-0.749916	0.562374	0.031250	0.000977	33
-0.739560	0.546949	0.000000	0.000000	45
-0.743036	0.552103	0.042969	0.001846	37
-0.740149	0.547820	0.023438	0.000549	33
-0.740548	0.548411	0.058594	0.003433	44
-0.748779	0.560670	0.007812	0.000061	33
-0.731070	0.534464	0.007812	0.000061	35
-0.747043	0.558074	0.027344	0.000748	41
-0.732936	0.537195	0.015625	0.000244	58
-0.752140	0.565714	0.054688	0.002991	29
-0.735523	0.540994	0.023438	0.000549	53
-0.731049	0.534432	0.031250	0.000977	40
-0.746086	0.556645	0.003906	0.000015	50
-0.740950	0.549007	0.023438	0.000549	43
-0.732829	0.537038	0.019531	0.000381	30
-0.741128	0.549271	0.039062	0.001526	41
-0.739925	0.547488	0.078125	0.006104	60
-0.747868	0.559306	0.062500	0.003906	33
-0.748648	0.560474	0.042969	0.001846	32
-0.741242	0.549440	0.039062	0.001526	46
-0.745051	0.555101	0.082031	0.006729	40
-0.714966	0.511176	0.101562	0.010315	66
-0.741143	0.549294	0.050781	0.002579	40
-0.747362	0.558550	0.035156	0.001236	36
-0.752866	0.566808	0.050781	0.002579	57
-0.734197	0.539046	0.062500	0.003906	53
-0.741395	0.549667	0.015625	0.000244	47
-0.739428	0.546754	0.003906	0.000015	49
-0.733060	0.537377	0.015625	0.000244	45
-0.756800	0.572746	0.007812	0.000061	44
-0.732062	0.535915	0.023438	0.000549	39
-0.739295	0.546556	0.011719	0.000137	37
-0.734386	0.539323	0.039062	0.001526	57
-0.740907	0.548943	0.031250	0.000977	65
-0.729744	0.532527	0.031250	0.000977	45
-0.725094	0.525761	0.128906	0.016617	38
-0.726027	0.527115	0.066406	0.004410	45
-0.750853	0.563781	0.078125	0.006104	28
-0.746483	0.557237	0.023438	0.000549	33
-0.731141	0.534567	0.011719	0.000137	43
-0.737966	0.544595	0.003906	0.000015	31
-0.726148	0.527291	0.031250	0.000977	39
-0.745517	0.555796	0.023438	0.000549	33
-0.744326	0.554022	0.093750	0.008789	36
-0.738573	0.545491	0.054688	0.002991	57
-0.740429	0.548235	0.093750	0.008789	32
-0.736839	0.542932	0.050781	0.002579	41
-0.733340	0.537788	0.000000	0.000000	50
-0.737399	0.543758	0.003906	0.000015	49
-0.744224	0.553870	0.046875	0.002197	27
-0.727406	0.529120	0.035156	0.001236	33
-0.746785	0.557687	0.015625	0.000244	31
-0.729238	0.531788	0.007812	0.000061	30
-0.740170	0.547852	0.023438	0.000549	29
-0.730947	0.534283	0.003906	0.000015	51
-0.726220	0.527395	0.027344	0.000748	48
-0.746637	0.557467	0.003906	0.000015	30
-0.735904	0.541555	0.027344	0.000748	37
-0.753469	0.567716	0.105469	0.011124	33
-0.741489	0.549806	0.031250	0.000977	35
-0.735593	0.541097	0.027344	0.000748	36
-0.731662	0.535329	0.019531	0.000381	49
-0.741830	0.550312	0.011719	0.000137	37
-0.741913	0.550435	0.007812	0.000061	36
-0.740370	0.548148	0.042969	0.001846	50
-0.742850	0.551826	0.027344	0.000748	37
-0.728564	0.530806	0.011719	0.000137	36
-0.736536	0.542486	0.019531	0.000381	28
-0.738773	0.545786	0.003906	0.000015	43
-0.744518	0.554308	0.089844	0.008072	42
-0.745216	0.555347	0.023438	0.000549	32
-0.755359	0.570567	0.007812	0.000061	56
-0.746794	0.557701	0.042969	0.001846	29
-0.748528	0.560294	0.054688	0.002991	45
-0.745621	0.555950	0.066406	0.004410	31
-0.732609	0.536716	0.046875	0.002197	37
-0.741017	0.549107	0.019531	0.000381	44
-0.750695	0.563543	0.019531	0.000381	49
-0.725698	0.526637	0.003906	0.000015	38
-0.758159	0.574805	0.085938	0.007385	32
-0.746502	0.557265	0.011719	0.000137	51
-0.736005	0.541703	0.031250	0.000977	55
-0.735500	0.540960	0.003906	0.000015	69
-0.755343	0.570544	0.003906	0.000015	33
-0.740810	0.548800	0.031250	0.000977	31
-0.730961	0.534304	0.015625	0.000244	27
-0.718693	0.516520	0.101562	0.010315	37
-0.732863	0.537088	0.023438	0.000549	33
-0.737709	0.544214	0.089844	0.008072	27
-0.738925	0.546010	0.007812	0.000061	70
-0.731763	0.535477	0.046875	0.002197	25
-0.737830	0.544393	0.015625	0.000244	39
-0.736728	0.542768	0.105469	0.011124	43
-0.742786	0.551731	0.105469	0.011124	30
-0.737460	0.543848	0.074219	0.005508	28
-0.728708	0.531015	0.011719	0.000137	37
-0.737563	0.543999	0.039062	0.001526	42
-0.733459	0.537962	0.046875	0.002197	46
-0.750845	0.563768	0.042969	0.001846	25
-0.728672	0.530962	0.050781	0.002579	36
-0.735014	0.540245	0.015625	0.000244	54
-0.738026	0.544682	0.031250	0.000977	45
-0.725256	0.525997	0.007812	0.000061	34
-0.731964	0.535771	0.031250	0.000977	44
-0.743376	0.552608	0.019531	0.000381	47
-0.730181	0.533164	0.023438	0.000549	43
-0.744827	0.554767	0.050781	0.002579	37
-0.763960	0.583635	0.101562	0.010315	48
-0.755070	0.570131	0.007812	0.000061	43
-0.739612	0.547025	0.050781	0.002579	46
-0.737875	0.544459	0.085938	0.007385	69
-0.728566	0.530808	0.093750	0.008789	39
-0.747856	0.559289	0.058594	0.003433	37
-0.734872	0.540037	0.019531	0.000381	29
-0.740675	0.548599	0.105469	0.011124	34
-0.723147	0.522941	0.035156	0.001236	34
-0.728359	0.530506	0.027344	0.000748	29
-0.727707	0.529558	0.074219	0.005508	32
-0.751720	0.565083	0.089844	0.008072	60
-0.732271	0.536221	0.050781	0.002579	50
-0.732008	0.535836	0.042969	0.001846	28
-0.751356	0.564536	0.015625	0.000244	35
-0.740626	0.548526	0.003906	0.000015	46
-0.738267	0.545038	0.050781	0.002579	42
-0.740198	0.547893	0.062500	0.003906	96
-0.736303	0.542142	0.035156	0.001236	45
-0.742426	0.551196	0.078125	0.006104	50
-0.739068	0.546222	0.023438	0.000549	52
-0.736007	0.541707	0.023438	0.000549	47
-0.741874	0.550377	0.023438	0.000549	38
-0.750482	0.563223	0.023438	0.000549	49
-0.745490	0.555755	0.074219	0.005508	32
-0.752511	0.566273	0.046875	0.002197	34
-0.743599	0.552939	0.023438	0.000549	39
-0.757526	0.573845	0.027344	0.000748	48
-0.735838	0.541457	0.082031	0.006729	36
-0.732689	0.536833	0.003906	0.000015	36
-0.747370	0.558561	0.007812	0.000061	67
-0.733656	0.538251	0.050781	0.002579	46
-0.743688	0.553072	0.031250	0.000977	38
-0.743750	0.553164	0.042969	0.001846	33
-0.745200	0.555324	0.023438	0.000549	30
-0.740077	0.547714	0.003906	0.000015	28
-0.748510	0.560267	0.023438	0.000549	31
-0.730233	0.533240	0.035156	0.001236	23
-0.743953	0.553466	0.019531	0.000381	32
-0.736492	0.542421	0.007812	0.000061	37
-0.756455	0.572224	0.027344	0.000748	25
-0.739101	0.546270	0.019531	0.000381	43
-0.746509	0.557276	0.070312	0.004944	40
-0.732288	0.536246	0.035156	0.001236	30
-0.737424	0.543794	0.019531	0.000381	50
-0.733227	0.537622	0.042969	0.001846	53
-0.744945	0.554943	0.019531	0.000381	68
-0.739626	0.547047	0.046875	0.002197	35
-0.740447	0.548262	0.000000	0.000000	50
-0.741719	0.550148	0.011719	0.000137	32
-0.744474	0.554242	0.035156	0.001236	37
-0.729466	0.532121	0.023438	0.000549	36
-0.733264	0.537676	0.023438	0.000549	54
-0.748232	0.559851	0.007812	0.000061	40
-0.727764	0.529641	0.039062	0.001526	39
-0.739495	0.546853	0.027344	0.000748	44
-0.744351	0.554058	0.042969	0.001846	35
-0.738998	0.546119	0.027344	0.000748	54
-0.754885	0.569852	0.003906	0.000015	30
-0.747401	0.558608	0.007812	0.000061	33
-0.739540	0.546919	0.003906	0.000015	63
-0.735744	0.541320	0.015625	0.000244	49
-0.751736	0.565107	0.007812	0.000061	27
-0.727419	0.529139	0.050781	0.002579	31
-0.730811	0.534084	0.085938	0.007385	54
-0.740157	0.547832	0.039062	0.001526	49
-0.737292	0.543600	0.007812	0.000061	49
-0.746259	0.556903	0.093750	0.008789	38
-0.746735	0.557614	0.050781	0.002579	30
-0.735712	0.541272	0.015625	0.000244	43
-0.743666	0.553040	0.085938	0.007385	44
-0.730821	0.534099	0.058594	0.003433	38
-0.731878	0.535645	0.046875	0.002197	30
-0.737599	0.544053	0.031250	0.000977	29
-0.748793	0.560691	0.035156	0.001236	23
-0.758935	0.575982	0.042969	0.001846	28
-0.744102	0.553688	0.003906	0.000015	36
-0.741187	0.549359	0.023438	0.000549	32
-0.735797	0.541397	0.035156	0.001236	36
-0.729062	0.531531	0.039062	0.001526	30
-0.735701	0.541257	0.035156	0.001236	37
-0.740816	0.548808	0.007812	0.000061	26
-0.748280	0.559923	0.027344	0.000748	31
-0.725401	0.526207	0.039062	0.001526	29
-0.734408	0.539355	0.000000	0.000000	36
-0.730104	0.533051	0.019531	0.000381	27
-0.742186	0.550839	0.015625	0.000244	32
-0.750892	0.563839	0.003906	0.000015	33
-0.723576	0.523563	0.109375	0.011963	33
-0.746292	0.556952	0.050781	0.002579	37
-0.746499	0.557261	0.011719	0.000137	36
-0.747066	0.558107	0.046875	0.002197	30
-0.733893	0.538599	0.031250	0.000977	58
-0.737362	0.543703	0.031250	0.000977	33
-0.725062	0.525715	0.023438	0.000549	31
-0.745053	0.555104	0.035156	0.001236	37
-0.750048	0.562572	0.031250	0.000977	26
-0.760559	0.578450	0.019531	0.000381	42
-0.737025	0.543206	0.046875	0.002197	38
-0.738457	0.545319	0.031250	0.000977	41
-0.734718	0.539811	0.062500	0.003906	28
-0.749689	0.562034	0.019531	0.000381	38
-0.750462	0.563192	0.042969	0.001846	23
-0.731719	0.535413	0.019531	0.000381	40
-0.734119	0.538931	0.046875	0.002197	25
-0.731050	0.534435	0.093750	0.008789	38
-0.742250	0.550936	0.027344	0.000748	24
-0.734855	0.540012	0.152344	0.023209	38
-0.745347	0.555542	0.011719	0.000137	42
-0.728800	0.531149	0.070312	0.004944	37
-0.754435	0.569173	0.027344	0.000748	25
-0.740248	0.547967	0.035156	0.001236	39
-0.741514	0.549844	0.015625	0.000244	37
-0.754801	0.569725	0.039062	0.001526	36
-0.750622	0.563434	0.007812	0.000061	30
-0.743527	0.552833	0.019531	0.000381	39
-0.738195	0.544932	0.003906	0.000015	52
-0.724856	0.525416	0.078125	0.006104	41
-0.753114	0.567181	0.039062	0.001526	65
-0.722076	0.521393	0.011719	0.000137	43
-0.743975	0.553499	0.011719	0.000137	41
-0.759764	0.577242	0.011719	0.000137	43
-0.736732	0.542774	0.023438	0.000549	35
-0.724652	0.525120	0.027344	0.000748	52
-0.753580	0.567883	0.039062	0.001526	50
-0.730018	0.532927	0.015625	0.000244	32
-0.736377	0.542251	0.000000	0.000000	28
-0.740745	0.548703	0.039062	0.001526	36
-0.727071	0.528632	0.039062	0.001526	43
-0.749999	0.562499	0.019531	0.000381	36
-0.731409	0.534959	0.000000	0.000000	44
-0.742723	0.551638	0.027344	0.000748	48
-0.742866	0.551850	0.019531	0.000381	48
-0.736932	0.543069	0.011719	0.000137	65
-0.749882	0.562323	0.003906	0.000015	28
-0.757622	0.573991	0.085938	0.007385	33
-0.744860	0.554816	0.050781	0.002579	45
-0.743588	0.552923	0.015625	0.000244	51
-0.719938	0.518310	0.015625	0.000244	68
-0.717401	0.514664	0.097656	0.009537	51
-0.742368	0.551110	0.062500	0.003906	33
-0.751266	0.564401	0.015625	0.000244	26
-0.741056	0.549164	0.062500	0.003906	43
-0.735409	0.540826	0.039062	0.001526	41
-0.738749	0.545750	0.039062	0.001526	33
-0.723433	0.523355	0.003906	0.000015	34
-0.748449	0.560176	0.007812	0.000061	44
-0.743119	0.552225	0.035156	0.001236	43
-0.746270	0.556918	0.058594	0.003433	56
-0.744245	0.553900	0.019531	0.000381	36
-0.742111	0.550729	0.062500	0.003906	37
-0.746414	0.557134	0.023438	0.000549	61
-0.749599	0.561899	0.050781	0.002579	35
-0.739338	0.546620	0.023438	0.000549	30
-0.731499	0.535092	0.046875	0.002197	34
-0.743159	0.552285	0.007812	0.000061	60
-0.757466	0.573755	0.046875	0.002197	32
-0.740780	0.548755	0.015625	0.000244	39
-0.728079	0.530099	0.007812	0.000061	49
-0.719071	0.517062	0.078125	0.006104	37
