# Energy	Energy^2	Magnetic	Magnet^2	Cycles
-0.748898	0.560849	0.001953	0.000004	50
-0.747837	0.559261	0.016602	0.000276	38
-0.746361	0.557055	0.010742	0.000115	33
-0.743013	0.552069	0.024414	0.000596	66
-0.746819	0.557739	0.010742	0.000115	40
-0.739484	0.546836	0.006836	0.000047	38
-0.739388	0.546695	0.047852	0.002290	34
-0.753813	0.568234	0.031250	0.000977	41
-0.749630	0.561945	0.039062	0.001526	48
-0.747605	0.558913	0.009766	0.000095	28
-0.748502	0.560255	0.035156	0.001236	47
-0.741965	0.550512	0.003906	0.000015	39
-0.741923	0.550449	0.014648	0.000215	38
-0.750187	0.562781	0.016602	0.000276	42
-0.745695	0.556060	0.011719	0.000137	51
-0.749993	0.562490	0.013672	0.000187	40
-0.743961	0.553477	0.000000	0.000000	62
-0.746047	0.556586	0.006836	0.000047	35
-0.741611	0.549986	0.002930	0.000009	70
-0.743902	0.553390	0.012695	0.000161	40
-0.746787	0.557691	0.007812	0.000061	38
-0.754860	0.569813	0.046875	0.002197	41
-0.747523	0.558790	0.005859	0.000034	48
-0.742105	0.550720	0.031250	0.000977	43
-0.738806	0.545835	0.023438	0.000549	35
-0.747233	0.558356	0.003906	0.000015	31
-0.750537	0.563306	0.013672	0.000187	52
-0.745204	0.555329	0.024414	0.000596	44
-0.746454	0.557194	0.031250	0.000977	40
-0.749800	0.562199	0.002930	0.000009	78
-0.749959	0.562438	0.025391	0.000645	44
-0.742790	0.551737	0.035156	0.001236	39
-0.752921	0.566890	0.019531	0.000381	44
-0.751574	0.564864	0.024414	0.000596	36
-0.746651	0.557487	0.001953	0.000004	43
-0.744569	0.554383	0.041992	0.001763	64
-0.745177	0.555289	0.000000	0.000000	41
-0.754142	0.568730	0.034180	0.001168	41
-0.740482	0.548313	0.008789	0.000077	50
-0.746874	0.557821	0.020508	0.000421	41
-0.751781	0.565175	0.037109	0.001377	40
-0.742768	0.551704	0.041992	0.001763	42
-0.746095	0.556657	0.005859	0.000034	38
-0.743987	0.553517	0.034180	0.001168	52
-0.752906	0.566867	0.047852	0.002290	74
-0.749055	0.561084	0.000000	0.000000	31
-0.750192	0.562788	0.000000	0.000000	37
-0.747729	0.559098	0.003906	0.000015	36
-0.745818	0.556244	0.035156	0.001236	41
-0.747089	0.558143	0.029297	0.000858	34
-0.750665	0.563498	0.001953	0.000004	48
-0.746378	0.557080	0.035156	0.001236	48
-0.738604	0.545537	0.005859	0.000034	37
-0.742641	0.551515	0.031250	0.000977	44
-0.746670	0.557517	0.000000	0.000000	41
-0.754860	0.569814	0.002930	0.000009	83
-0.748565	0.560349	0.014648	0.000215	50
-0.752283	0.565930	0.032227	0.001039	48
-0.750121	0.562681	0.024414	0.000596	37
-0.744232	0.553881	0.033203	0.001102	58
-0.745561	0.555860	0.019531	0.000381	39
-0.742490	0.551292	0.053711	0.002885	44
-0.751979	0.565472	0.009766	0.000095	42
-0.749743	0.562114	0.005859	0.000034	42
-0.734221	0.539080	0.032227	0.001039	41
-0.744641	0.554491	0.031250	0.000977	43
-0.747031	0.558056	0.025391	0.000645	63
-0.743114	0.552218	0.006836	0.000047	45
-0.742985	0.552027	0.008789	0.000077	40
-0.751558	0.564840	0.003906	0.000015	36
-0.748724	0.560588	0.008789	0.000077	46
-0.745628	0.555962	0.002930	0.000009	45
-0.748340	0.560013	0.018555	0.000344	41
-0.744194	0.553824	0.013672	0.000187	49
-0.737314	0.543632	0.001953	0.000004	30
-0.743964	0.553483	0.013672	0.000187	33
-0.753331	0.567508	0.012695	0.000161	43
-0.748252	0.559882	0.007812	0.000061	58
-0.744570	0.554384	0.017578	0.000309	35
-0.749379	0.561569	0.013672	0.000187	33
-0.740251	0.547971	0.040039	0.001603	43
-0.742954	0.551981	0.002930	0.000009	35
-0.743835	0.553290	0.019531	0.000381	49
-0.749955	0.562433	0.038086	0.001451	48
-0.745194	0.555314	0.021484	0.000462	33
-0.748274	0.559914	0.009766	0.000095	41
-0.741902	0.550419	0.002930	0.000009	36
-0.747180	0.558279	0.001953	0.000004	43
-0.743262	0.552439	0.009766	0.000095	51
-0.745030	0.555070	0.011719	0.000137	36
-0.736548	0.542503	0.012695	0.000161	53
-0.746014	0.556537	0.052734	0.002781	74
-0.746283	0.556938	0.038086	0.001451	34
-0.751728	0.565095	0.000977	0.000001	31
-0.748294	0.559945	0.001953	0.000004	56
-0.752380	0.566076	0.000977	0.000001	40
-0.746182	0.556788	0.016602	0.000276	55
-0.747882	0.559327	0.023438	0.000549	38
-0.756266	0.571938	0.007812	0.000061	36
-0.748505	0.560260	0.042969	0.001846	61
-0.750494	0.563241	0.000977	0.000001	54
-0.741139	0.549287	0.019531	0.000381	41
-0.744240	0.553893	0.016602	0.000276	31
-0.738828	0.545867	0.037109	0.001377	40
-0.755309	0.570491	0.004883	0.000024	46
-0.748947	0.560922	0.013672	0.000187	48
-0.743555	0.552874	0.019531	0.000381	42
-0.753351	0.567538	0.004883	0.000024	55
-0.741815	0.550289	0.013672	0.000187	52
-0.740475	0.548303	0.007812	0.000061	48
-0.740660	0.548577	0.018555	0.000344	34
-0.745725	0.556105	0.021484	0.000462	52
-0.745503	0.555775	0.047852	0.002290	48
-0.740716	0.548659	0.003906	0.000015	37
-0.750628	0.563443	0.009766	0.000095	40
-0.748563	0.560346	0.001953	0.000004	45
-0.744120	0.553715	0.006836	0.000047	37
-0.748530	0.560298	0.010742	0.000115	52
-0.753568	0.567864	0.014648	0.000215	37
-0.744732	0.554625	0.022461	0.000504	45
-0.737507	0.543917	0.010742	0.000115	30
-0.739361	0.546654	0.014648	0.000215	43
-0.748009	0.559518	0.004883	0.000024	42
-0.742927	0.551940	0.018555	0.000344	49
-0.747810	0.559219	0.017578	0.000309	59
-0.750667	0.563501	0.003906	0.000015	32
-0.748660	0.560492	0.029297	0.000858	51
-0.752008	0.565516	0.006836	0.000047	37
-0.741871	0.550373	0.024414	0.000596	52
-0.749688	0.562032	0.018555	0.000344	43
-0.756345	0.572057	0.021484	0.000462	44
-0.752728	0.566600	0.007812	0.000061	40
-0.749604	0.561906	0.008789	0.000077	41
-0.752214	0.565826	0.034180	0.001168	41
-0.747491	0.558743	0.009766	0.000095	44
-0.747803	0.559210	0.046875	0.002197	62
-0.745448	0.555692	0.017578	0.000309	56
-0.750300	0.562950	0.005859	0.000034	41
-0.746211	0.556830	0.014648	0.000215	30
-0.749486	0.561729	0.017578	0.000309	51
-0.753990	0.568501	0.007812	0.000061	33
-0.746447	0.557183	0.030273	0.000916	46
-0.749117	0.561177	0.028320	0.000802	47
-0.745898	0.556365	0.004883	0.000024	44
-0.748157	0.559738	0.007812	0.000061	63
-0.748309	0.559966	0.000977	0.000001	37
-0.744556	0.554364	0.024414	0.000596	43
-0.742913	0.551920	0.014648	0.000215	52
-0.746135	0.556717	0.019531	0.000381	51
-0.742388	0.551140	0.009766	0.000095	45
-0.747322	0.558490	0.005859	0.000034	44
-0.746604	0.557417	0.004883	0.000024	43
-0.750702	0.563554	0.049805	0.002481	38
-0.752566	0.566356	0.029297	0.000858	42
-0.746163	0.556759	0.012695	0.000161	34
-0.746994	0.558000	0.024414	0.000596	45
-0.750301	0.562952	0.024414	0.000596	37
-0.749445	0.561668	0.004883	0.000024	48
-0.748743	0.560616	0.003906	0.000015	38
-0.748554	0.560332	0.031250	0.000977	68
-0.745777	0.556184	0.015625	0.000244	51
-0.745963	0.556461	0.012695	0.000161	46
-0.746632	0.557459	0.002930	0.000009	51
#-inf		inf			0.014648	0.000215	44
-0.752160	0.565745	0.005859	0.000034	41
-0.748416	0.560127	0.004883	0.000024	44
-0.742838	0.551808	0.038086	0.001451	46
-0.749980	0.562470	0.045898	0.002107	50
-0.746109	0.556678	0.003906	0.000015	47
-0.739019	0.546150	0.018555	0.000344	33
-0.748455	0.560185	0.004883	0.000024	48
-0.749962	0.562443	0.022461	0.000504	38
-0.745772	0.556176	0.019531	0.000381	46
-0.742550	0.551380	0.018555	0.000344	52
-0.745607	0.555929	0.009766	0.000095	33
-0.746002	0.556518	0.019531	0.000381	63
-0.747153	0.558237	0.020508	0.000421	43
-0.751101	0.564153	0.002930	0.000009	45
-0.743627	0.552981	0.025391	0.000645	53
-0.747763	0.559149	0.029297	0.000858	37
-0.745067	0.555125	0.042969	0.001846	37
-0.750579	0.563368	0.004883	0.000024	35
-0.749408	0.561612	0.004883	0.000024	45
-0.747644	0.558972	0.003906	0.000015	37
-0.747364	0.558553	0.006836	0.000047	33
-0.750470	0.563205	0.027344	0.000748	33
-0.747620	0.558935	0.011719	0.000137	43
-0.746084	0.556642	0.076172	0.005802	56
-0.739364	0.546659	0.013672	0.000187	38
-0.738817	0.545851	0.029297	0.000858	44
-0.746114	0.556687	0.035156	0.001236	45
-0.752724	0.566593	0.023438	0.000549	48
-0.743215	0.552369	0.026367	0.000695	37
-0.742563	0.551399	0.005859	0.000034	54
-0.746144	0.556730	0.022461	0.000504	44
-0.748469	0.560206	0.017578	0.000309	54
-0.743305	0.552502	0.021484	0.000462	33
-0.752399	0.566105	0.007812	0.000061	42
-0.739313	0.546583	0.017578	0.000309	82
-0.744415	0.554154	0.003906	0.000015	58
-0.752453	0.566186	0.000977	0.000001	71
-0.749265	0.561397	0.033203	0.001102	43
-0.750899	0.563849	0.017578	0.000309	89
-0.749719	0.562079	0.009766	0.000095	46
-0.750786	0.563679	0.033203	0.001102	42
-0.748419	0.560131	0.010742	0.000115	62
-0.750754	0.563631	0.042969	0.001846	46
-0.749091	0.561137	0.016602	0.000276	44
-0.746805	0.557718	0.021484	0.000462	40
-0.753429	0.567656	0.000000	0.000000	32
-0.751422	0.564636	0.035156	0.001236	59
-0.745789	0.556202	0.007812	0.000061	43
-0.748924	0.560888	0.035156	0.001236	35
-0.745713	0.556087	0.008789	0.000077	59
-0.750693	0.563539	0.005859	0.000034	75
-0.741617	0.549996	0.022461	0.000504	38
-0.746325	0.557001	0.006836	0.000047	41
-0.740948	0.549004	0.013672	0.000187	56
-0.754390	0.569104	0.026367	0.000695	40
-0.752744	0.566623	0.020508	0.000421	71
-0.746825	0.557748	0.047852	0.002290	64
-0.755266	0.570427	0.007812	0.000061	46
-0.750476	0.563215	0.031250	0.000977	41
-0.748602	0.560406	0.015625	0.000244	72
-0.742155	0.550794	0.004883	0.000024	36
-0.743483	0.552767	0.020508	0.000421	36
-0.744858	0.554814	0.045898	0.002107	49
-0.749410	0.561615	0.004883	0.000024	49
-0.745638	0.555976	0.014648	0.000215	61
-0.744016	0.553560	0.040039	0.001603	50
-0.742278	0.550976	0.012695	0.000161	48
-0.743656	0.553024	0.005859	0.000034	48
-0.748743	0.560616	0.019531	0.000381	48
-0.740730	0.548680	0.000977	0.000001	49
-0.746877	0.557825	0.003906	0.000015	45
-0.746809	0.557724	0.015625	0.000244	46
-0.750451	0.563176	0.031250	0.000977	69
-0.741816	0.550291	0.008789	0.000077	57
-0.742323	0.551044	0.019531	0.000381	46
-0.745818	0.556244	0.007812	0.000061	47
-0.746719	0.557589	0.012695	0.000161	42
-0.743342	0.552557	0.004883	0.000024	53
-0.750765	0.563648	0.022461	0.000504	49
-0.747240	0.558367	0.005859	0.000034	46
-0.744409	0.554145	0.012695	0.000161	38
-0.735490	0.540946	0.002930	0.000009	38
-0.745272	0.555430	0.021484	0.000462	42
-0.746333	0.557013	0.009766	0.000095	45
-0.743466	0.552742	0.007812	0.000061	36
-0.750337	0.563006	0.013672	0.000187	36
-0.743942	0.553450	0.006836	0.000047	49
-0.740868	0.548886	0.002930	0.000009	51
-0.743716	0.553114	0.020508	0.000421	50
-0.760441	0.578270	0.052734	0.002781	31
-0.748803	0.560705	0.001953	0.000004	68
-0.747684	0.559031	0.027344	0.000748	39
-0.748870	0.560807	0.012695	0.000161	47
-0.748597	0.560397	0.009766	0.000095	36
-0.744075	0.553647	0.027344	0.000748	47
-0.742500	0.551307	0.020508	0.000421	40
-0.751139	0.564209	0.007812	0.000061	41
-0.743679	0.553059	0.007812	0.000061	42
-0.749697	0.562046	0.012695	0.000161	29
-0.746428	0.557155	0.006836	0.000047	32
-0.751163	0.564246	0.049805	0.002481	61
-0.749301	0.561452	0.028320	0.000802	46
-0.742016	0.550587	0.004883	0.000024	45
-0.747962	0.559446	0.058594	0.003433	47
-0.750824	0.563737	0.013672	0.000187	69
-0.744101	0.553686	0.009766	0.000095	92
-0.753427	0.567653	0.017578	0.000309	36
-0.749560	0.561840	0.007812	0.000061	49
-0.753245	0.567377	0.009766	0.000095	39
-0.750315	0.562972	0.015625	0.000244	46
-0.742390	0.551143	0.002930	0.000009	37
-0.741398	0.549671	0.003906	0.000015	42
-0.746832	0.557758	0.004883	0.000024	47
-0.745478	0.555738	0.032227	0.001039	33
-0.750690	0.563536	0.015625	0.000244	59
-0.746279	0.556932	0.022461	0.000504	45
-0.744045	0.553603	0.010742	0.000115	35
-0.745859	0.556305	0.004883	0.000024	48
-0.746282	0.556937	0.040039	0.001603	43
-0.746118	0.556692	0.018555	0.000344	43
-0.743550	0.552867	0.026367	0.000695	60
-0.754832	0.569771	0.005859	0.000034	44
-0.736383	0.542260	0.003906	0.000015	47
-0.745229	0.555367	0.001953	0.000004	58
-0.747689	0.559038	0.000977	0.000001	56
-0.754586	0.569400	0.027344	0.000748	42
-0.749689	0.562033	0.040039	0.001603	36
-0.742282	0.550983	0.019531	0.000381	44
-0.755361	0.570571	0.013672	0.000187	51
-0.748762	0.560644	0.023438	0.000549	45
-0.737966	0.544594	0.021484	0.000462	45
-0.751711	0.565069	0.018555	0.000344	53
-0.746394	0.557104	0.033203	0.001102	60
-0.749821	0.562231	0.016602	0.000276	49
-0.750994	0.563992	0.008789	0.000077	48
-0.745295	0.555465	0.019531	0.000381	36
-0.737891	0.544483	0.013672	0.000187	74
-0.744062	0.553628	0.027344	0.000748	49
-0.747260	0.558398	0.027344	0.000748	39
-0.748171	0.559760	0.011719	0.000137	45
-0.737633	0.544102	0.017578	0.000309	46
-0.742055	0.550646	0.000977	0.000001	49
-0.750315	0.562972	0.000977	0.000001	47
-0.745015	0.555048	0.001953	0.000004	33
-0.743645	0.553009	0.004883	0.000024	49
-0.744092	0.553672	0.007812	0.000061	46
-0.742820	0.551782	0.002930	0.000009	41
-0.744922	0.554908	0.023438	0.000549	57
-0.750436	0.563154	0.022461	0.000504	42
-0.746843	0.557774	0.010742	0.000115	45
-0.748012	0.559522	0.011719	0.000137	52
-0.744499	0.554279	0.027344	0.000748	38
-0.742719	0.551631	0.036133	0.001306	46
-0.751340	0.564512	0.006836	0.000047	44
-0.746183	0.556788	0.017578	0.000309	51
-0.742041	0.550625	0.054688	0.002991	68
-0.752400	0.566106	0.065430	0.004281	55
-0.752747	0.566628	0.023438	0.000549	44
-0.747368	0.558559	0.036133	0.001306	28
-0.749730	0.562095	0.007812	0.000061	53
-0.745283	0.555447	0.001953	0.000004	44
-0.746263	0.556909	0.015625	0.000244	38
-0.754832	0.569771	0.003906	0.000015	46
-0.741377	0.549640	0.013672	0.000187	47
-0.748950	0.560926	0.001953	0.000004	46
-0.750864	0.563796	0.013672	0.000187	41
-0.748900	0.560851	0.018555	0.000344	42
-0.743369	0.552598	0.004883	0.000024	55
-0.748453	0.560182	0.018555	0.000344	63
-0.748160	0.559744	0.044922	0.002018	76
-0.745918	0.556393	0.027344	0.000748	39
-0.746933	0.557908	0.004883	0.000024	41
-0.750871	0.563808	0.017578	0.000309	42
-0.746537	0.557317	0.025391	0.000645	47
-0.744601	0.554431	0.011719	0.000137	49
-0.750369	0.563054	0.005859	0.000034	48
-0.743486	0.552771	0.018555	0.000344	46
-0.750296	0.562944	0.039062	0.001526	37
-0.741885	0.550394	0.020508	0.000421	36
-0.747488	0.558738	0.011719	0.000137	35
-0.752911	0.566875	0.007812	0.000061	38
-0.744557	0.554365	0.002930	0.000009	37
-0.754452	0.569198	0.008789	0.000077	29
-0.752199	0.565803	0.000977	0.000001	49
-0.747822	0.559238	0.008789	0.000077	41
-0.750429	0.563144	0.012695	0.000161	47
-0.746582	0.557385	0.006836	0.000047	46
-0.744094	0.553676	0.032227	0.001039	41
-0.747518	0.558784	0.020508	0.000421	41
-0.738459	0.545322	0.005859	0.000034	26
-0.749882	0.562323	0.008789	0.000077	54
-0.745468	0.555722	0.003906	0.000015	54
-0.746694	0.557552	0.002930	0.000009	50
-0.740046	0.547669	0.028320	0.000802	49
-0.741464	0.549769	0.011719	0.000137	43
-0.745972	0.556474	0.003906	0.000015	32
-0.751202	0.564305	0.041992	0.001763	44
-0.748161	0.559745	0.014648	0.000215	36
-0.745194	0.555314	0.003906	0.000015	71
-0.755900	0.571385	0.033203	0.001102	60
-0.737386	0.543738	0.004883	0.000024	47
-0.746178	0.556781	0.008789	0.000077	55
-0.745365	0.555569	0.004883	0.000024	47
-0.745701	0.556070	0.003906	0.000015	75
-0.747848	0.559277	0.027344	0.000748	35
-0.742573	0.551414	0.012695	0.000161	40
-0.754328	0.569011	0.051758	0.002679	40
-0.745646	0.555988	0.006836	0.000047	45
-0.743331	0.552541	0.021484	0.000462	54
-0.752761	0.566649	0.004883	0.000024	42
-0.739488	0.546842	0.042969	0.001846	48
-0.743721	0.553122	0.026367	0.000695	42
-0.745046	0.555094	0.018555	0.000344	44
-0.748448	0.560175	0.004883	0.000024	50
-0.747974	0.559466	0.041992	0.001763	29
-0.749399	0.561599	0.048828	0.002384	42
-0.749463	0.561695	0.045898	0.002107	42
-0.743783	0.553213	0.000977	0.000001	41
-0.743818	0.553266	0.008789	0.000077	46
-0.745502	0.555773	0.022461	0.000504	46
-0.748027	0.559545	0.022461	0.000504	49
-0.742377	0.551124	0.022461	0.000504	58
-0.747615	0.558929	0.015625	0.000244	78
-0.753225	0.567348	0.013672	0.000187	55
-0.753759	0.568153	0.002930	0.000009	51
-0.751914	0.565375	0.011719	0.000137	47
-0.741843	0.550331	0.020508	0.000421	37
-0.749712	0.562068	0.027344	0.000748	52
-0.754896	0.569867	0.005859	0.000034	34
-0.742321	0.551041	0.005859	0.000034	40
-0.742176	0.550825	0.047852	0.002290	35
-0.744789	0.554710	0.022461	0.000504	38
-0.747502	0.558760	0.007812	0.000061	42
-0.744458	0.554217	0.001953	0.000004	40
-0.745279	0.555441	0.032227	0.001039	47
-0.745830	0.556263	0.015625	0.000244	55
-0.745563	0.555864	0.000977	0.000001	39
-0.746486	0.557241	0.040039	0.001603	35
-0.749166	0.561250	0.023438	0.000549	39
-0.749311	0.561467	0.028320	0.000802	46
-0.745120	0.555203	0.020508	0.000421	47
-0.744307	0.553993	0.003906	0.000015	54
-0.745876	0.556332	0.023438	0.000549	40
-0.752735	0.566609	0.005859	0.000034	49
-0.752872	0.566816	0.011719	0.000137	50
-0.739076	0.546233	0.006836	0.000047	57
-0.742385	0.551136	0.007812	0.000061	43
-0.748432	0.560150	0.002930	0.000009	43
-0.750986	0.563980	0.007812	0.000061	44
-0.753944	0.568431	0.009766	0.000095	40
-0.747965	0.559451	0.020508	0.000421	31
-0.752053	0.565583	0.014648	0.000215	39
-0.748855	0.560784	0.037109	0.001377	35
-0.750267	0.562900	0.022461	0.000504	49
-0.743692	0.553077	0.014648	0.000215	42
-0.743129	0.552241	0.002930	0.000009	49
-0.750503	0.563255	0.003906	0.000015	45
-0.747019	0.558037	0.018555	0.000344	34
-0.746882	0.557832	0.040039	0.001603	36
-0.745258	0.555410	0.004883	0.000024	37
-0.744338	0.554039	0.021484	0.000462	68
-0.742571	0.551412	0.025391	0.000645	40
-0.742408	0.551170	0.015625	0.000244	41
-0.742498	0.551303	0.020508	0.000421	42
-0.745942	0.556430	0.001953	0.000004	37
-0.749530	0.561795	0.014648	0.000215	43
-0.744975	0.554988	0.064453	0.004154	51
-0.748849	0.560775	0.009766	0.000095	40
-0.756919	0.572926	0.039062	0.001526	63
-0.750055	0.562583	0.040039	0.001603	39
-0.751199	0.564300	0.014648	0.000215	37
-0.751287	0.564433	0.022461	0.000504	41
-0.738856	0.545909	0.000977	0.000001	38
-0.753812	0.568233	0.022461	0.000504	49
-0.748877	0.560817	0.029297	0.000858	49
-0.741475	0.549785	0.000977	0.000001	55
-0.751226	0.564341	0.010742	0.000115	47
-0.741443	0.549738	0.012695	0.000161	35
-0.742421	0.551188	0.031250	0.000977	54
-0.745544	0.555837	0.050781	0.002579	45
-0.749274	0.561411	0.020508	0.000421	43
-0.745074	0.555135	0.012695	0.000161	43
-0.748185	0.559780	0.030273	0.000916	44
-0.746489	0.557246	0.041016	0.001682	38
-0.746025	0.556553	0.021484	0.000462	36
-0.747884	0.559330	0.015625	0.000244	49
-0.752340	0.566015	0.005859	0.000034	60
-0.738641	0.545591	0.024414	0.000596	32
-0.745879	0.556335	0.027344	0.000748	40
-0.749607	0.561910	0.000977	0.000001	49
-0.740277	0.548010	0.005859	0.000034	64
-0.746820	0.557740	0.019531	0.000381	40
-0.745402	0.555624	0.012695	0.000161	38
-0.740916	0.548957	0.002930	0.000009	42
-0.741825	0.550305	0.018555	0.000344	49
-0.751029	0.564044	0.005859	0.000034	38
-0.747338	0.558515	0.022461	0.000504	78
-0.739460	0.546801	0.028320	0.000802	53
-0.749805	0.562207	0.022461	0.000504	43
-0.749113	0.561171	0.019531	0.000381	44
-0.746880	0.557830	0.000977	0.000001	46
-0.746026	0.556554	0.027344	0.000748	65
-0.746999	0.558007	0.016602	0.000276	35
-0.744394	0.554123	0.026367	0.000695	62
-0.744453	0.554211	0.020508	0.000421	61
-0.749054	0.561082	0.009766	0.000095	33
-0.746011	0.556532	0.008789	0.000077	55
-0.751664	0.564998	0.010742	0.000115	49
-0.742640	0.551514	0.020508	0.000421	86
-0.751092	0.564140	0.011719	0.000137	60
-0.747986	0.559483	0.018555	0.000344	34
-0.745808	0.556230	0.005859	0.000034	55
-0.745005	0.555033	0.006836	0.000047	38
-0.750416	0.563124	0.010742	0.000115	45
-0.742910	0.551916	0.006836	0.000047	51
-0.753478	0.567730	0.025391	0.000645	44
-0.739479	0.546830	0.005859	0.000034	40
-0.736877	0.542987	0.037109	0.001377	55
-0.747349	0.558530	0.004883	0.000024	54
-0.752466	0.566205	0.014648	0.000215	50
-0.750059	0.562588	0.000977	0.000001	39
-0.754142	0.568730	0.005859	0.000034	43
-0.747555	0.558839	0.027344	0.000748	44
-0.753617	0.567939	0.031250	0.000977	55
-0.749944	0.562417	0.023438	0.000549	40
-0.753886	0.568344	0.008789	0.000077	38
