# Energy	Energy^2	Magnetic	Magnet^2	Cycles
-0.718481	0.516215	0.015625	0.000244	31
-0.722752	0.522370	0.015625	0.000244	74
-0.735550	0.541033	0.062500	0.003906	40
-0.753804	0.568221	0.007812	0.000061	46
-0.709153	0.502898	0.070312	0.004944	30
-0.706343	0.498920	0.031250	0.000977	31
-0.723246	0.523085	0.023438	0.000549	33
-0.737801	0.544351	0.023438	0.000549	55
-0.771301	0.594905	0.015625	0.000244	28
-0.722100	0.521429	0.039062	0.001526	34
-0.735812	0.541420	0.109375	0.011963	56
-0.765122	0.585411	0.054688	0.002991	36
-0.727385	0.529089	0.070312	0.004944	60
-0.751605	0.564909	0.015625	0.000244	30
-0.733245	0.537648	0.000000	0.000000	35
-0.760108	0.577764	0.093750	0.008789	36
-0.720864	0.519645	0.046875	0.002197	35
-0.747954	0.559435	0.046875	0.002197	25
-0.756031	0.571584	0.093750	0.008789	28
-0.700143	0.490200	0.031250	0.000977	42
-0.714555	0.510590	0.023438	0.000549	28
-0.703990	0.495602	0.023438	0.000549	37
-0.725828	0.526827	0.031250	0.000977	26
-0.733244	0.537647	0.007812	0.000061	29
-0.746723	0.557596	0.085938	0.007385	43
-0.727897	0.529834	0.015625	0.000244	40
-0.738088	0.544774	0.031250	0.000977	65
-0.754838	0.569781	0.078125	0.006104	28
-0.714119	0.509965	0.031250	0.000977	40
-0.723602	0.523599	0.054688	0.002991	31
-0.746288	0.556946	0.031250	0.000977	25
-0.734789	0.539916	0.031250	0.000977	49
-0.732078	0.535939	0.031250	0.000977	60
-0.725085	0.525748	0.062500	0.003906	33
-0.741065	0.549177	0.078125	0.006104	45
-0.744660	0.554519	0.054688	0.002991	40
-0.751666	0.565001	0.023438	0.000549	62
-0.738404	0.545241	0.031250	0.000977	70
-0.733572	0.538128	0.046875	0.002197	29
-0.715031	0.511270	0.054688	0.002991	30
-0.739209	0.546431	0.007812	0.000061	37
-0.749688	0.562031	0.015625	0.000244	30
-0.742734	0.551653	0.070312	0.004944	34
-0.729310	0.531893	0.109375	0.011963	58
-0.740365	0.548140	0.007812	0.000061	39
-0.701436	0.492013	0.015625	0.000244	35
-0.732593	0.536693	0.000000	0.000000	43
-0.735632	0.541155	0.031250	0.000977	30
-0.747979	0.559473	0.031250	0.000977	33
-0.733428	0.537917	0.023438	0.000549	33
-0.740313	0.548063	0.023438	0.000549	33
-0.724336	0.524662	0.023438	0.000549	38
-0.737543	0.543970	0.117188	0.013733	25
-0.743227	0.552386	0.007812	0.000061	54
-0.725305	0.526068	0.039062	0.001526	45
-0.734376	0.539308	0.023438	0.000549	39
-0.737046	0.543237	0.007812	0.000061	23
-0.736941	0.543082	0.007812	0.000061	35
-0.751854	0.565284	0.015625	0.000244	21
-0.727048	0.528599	0.015625	0.000244	24
-0.732298	0.536260	0.125000	0.015625	23
-0.730057	0.532984	0.046875	0.002197	32
-0.736611	0.542596	0.023438	0.000549	58
-0.726987	0.528511	0.054688	0.002991	23
-0.734719	0.539812	0.023438	0.000549	28
-0.701749	0.492451	0.062500	0.003906	23
-0.743413	0.552663	0.070312	0.004944	33
-0.738301	0.545088	0.125000	0.015625	37
-0.731821	0.535562	0.085938	0.007385	38
-0.730944	0.534279	0.023438	0.000549	43
-0.713130	0.508554	0.015625	0.000244	38
-0.752952	0.566936	0.015625	0.000244	39
-0.736240	0.542050	0.046875	0.002197	35
-0.715147	0.511435	0.046875	0.002197	34
-0.733719	0.538343	0.046875	0.002197	37
-0.732042	0.535886	0.000000	0.000000	56
-0.726201	0.527368	0.054688	0.002991	64
-0.720236	0.518740	0.085938	0.007385	80
-0.731541	0.535153	0.109375	0.011963	34
-0.750203	0.562804	0.062500	0.003906	56
-0.721925	0.521176	0.015625	0.000244	28
-0.718128	0.515707	0.070312	0.004944	27
-0.744945	0.554943	0.023438	0.000549	56
-0.716662	0.513605	0.062500	0.003906	41
-0.734322	0.539229	0.031250	0.000977	28
-0.736071	0.541801	0.031250	0.000977	36
-0.712381	0.507486	0.031250	0.000977	42
-0.726588	0.527930	0.023438	0.000549	28
-0.744186	0.553812	0.070312	0.004944	28
-0.725173	0.525875	0.023438	0.000549	41
-0.735829	0.541445	0.109375	0.011963	53
-0.734626	0.539676	0.015625	0.000244	40
-0.740593	0.548477	0.023438	0.000549	27
-0.731378	0.534914	0.023438	0.000549	42
-0.734539	0.539548	0.015625	0.000244	36
-0.742317	0.551034	0.085938	0.007385	32
-0.731941	0.535738	0.062500	0.003906	50
-0.705584	0.497849	0.046875	0.002197	39
-0.754758	0.569660	0.039062	0.001526	52
-0.761967	0.580593	0.054688	0.002991	49
