# Energy	Energy^2	Magnetic	Magnet^2
-0.751915	0.565376	0.033203	0.001102
-0.755756	0.571167	0.046875	0.002197
-0.757136	0.573255	0.052734	0.002781
-0.756717	0.572620	0.001953	0.000004
-0.756831	0.572794	0.017578	0.000309
-0.756064	0.571633	0.023438	0.000549
-0.755156	0.570261	0.041016	0.001682
-0.755721	0.571115	0.023438	0.000549
-0.754556	0.569355	0.029297	0.000858
-0.751009	0.564014	0.005859	0.000034
-0.753563	0.567857	0.019531	0.000381
-0.751080	0.564121	0.005859	0.000034
-0.757567	0.573908	0.035156	0.001236
-0.755161	0.570269	0.000000	0.000000
-0.755959	0.571474	0.031250	0.000977
-0.752867	0.566809	0.023438	0.000549
-0.758532	0.575370	0.035156	0.001236
-0.756057	0.571622	0.000000	0.000000
-0.750601	0.563401	0.007812	0.000061
-0.756042	0.571599	0.005859	0.000034
-0.754383	0.569093	0.001953	0.000004
-0.752525	0.566294	0.011719	0.000137
-0.759882	0.577421	0.041016	0.001682
-0.750441	0.563162	0.017578	0.000309
-0.756357	0.572076	0.009766	0.000095
-0.754309	0.568982	0.037109	0.001377
-0.752423	0.566140	0.011719	0.000137
-0.753951	0.568442	0.009766	0.000095
-0.752622	0.566440	0.023438	0.000549
-0.757268	0.573455	0.019531	0.000381
-0.757183	0.573327	0.013672	0.000187
-0.754468	0.569223	0.011719	0.000137
-0.754351	0.569045	0.003906	0.000015
-0.756419	0.572170	0.011719	0.000137
-0.745897	0.556362	0.007812	0.000061
-0.759086	0.576211	0.025391	0.000645
-0.756193	0.571828	0.017578	0.000309
-0.752801	0.566709	0.017578	0.000309
-0.754955	0.569957	0.052734	0.002781
-0.751767	0.565154	0.009766	0.000095
-0.754116	0.568691	0.025391	0.000645
-0.747477	0.558721	0.025391	0.000645
-0.752456	0.566190	0.056641	0.003208
-0.755338	0.570535	0.037109	0.001377
-0.755766	0.571183	0.027344	0.000748
-0.755238	0.570385	0.046875	0.002197
-0.752982	0.566983	0.009766	0.000095
-0.758739	0.575685	0.031250	0.000977
-0.757223	0.573386	0.007812	0.000061
-0.754785	0.569701	0.072266	0.005222
-0.762174	0.580908	0.001953	0.000004
-0.764030	0.583742	0.037109	0.001377
-0.755124	0.570212	0.015625	0.000244
-0.751752	0.565132	0.027344	0.000748
-0.754005	0.568524	0.013672	0.000187
-0.752575	0.566369	0.037109	0.001377
-0.755087	0.570156	0.019531	0.000381
-0.758957	0.576015	0.054688	0.002991
-0.756665	0.572541	0.001953	0.000004
-0.754476	0.569234	0.007812	0.000061
-0.750487	0.563230	0.015625	0.000244
-0.755848	0.571306	0.042969	0.001846
-0.753708	0.568076	0.007812	0.000061
-0.751042	0.564064	0.001953	0.000004
-0.747707	0.559066	0.013672	0.000187
-0.755842	0.571297	0.052734	0.002781
-0.755010	0.570041	0.037109	0.001377
-0.754445	0.569187	0.009766	0.000095
-0.755248	0.570400	0.048828	0.002384
-0.756078	0.571654	0.033203	0.001102
-0.753729	0.568107	0.011719	0.000137
-0.754968	0.569977	0.009766	0.000095
-0.755716	0.571107	0.046875	0.002197
-0.751272	0.564410	0.000000	0.000000
