# Size	En_Ave		En2_Ave		Mag_Ave		Mag2_Ave	Time
  32	-0.686885	0.473635	0.140563	0.031098	00m33.581s
  64	-0.715848	0.513163	0.095531	0.014259	02m00.266s
 128	-0.734110	0.539143	0.072672	0.008169	07m56.976s
 256	-0.745484	0.555831	0.050844	0.004044	31m39.556s
 512	-0.751737	0.565137	0.034117	0.001836	176m1.108s
