# Energy	Energy^2	Magnetic	Magnet^2
-0.748244	0.559869	0.046875	0.002197
-0.756507	0.572302	0.058594	0.003433
-0.758912	0.575948	0.031250	0.000977
-0.750908	0.563863	0.015625	0.000244
-0.749346	0.561519	0.011719	0.000137
-0.744852	0.554805	0.042969	0.001846
-0.746971	0.557965	0.058594	0.003433
-0.760417	0.578233	0.085938	0.007385
-0.745075	0.555136	0.007812	0.000061
-0.748950	0.560927	0.019531	0.000381
-0.749050	0.561075	0.046875	0.002197
-0.750297	0.562946	0.050781	0.002579
-0.756776	0.572710	0.031250	0.000977
-0.746672	0.557520	0.011719	0.000137
-0.747838	0.559261	0.046875	0.002197
-0.757753	0.574189	0.023438	0.000549
-0.748682	0.560524	0.003906	0.000015
-0.744166	0.553783	0.031250	0.000977
-0.750983	0.563975	0.023438	0.000549
-0.754944	0.569940	0.023438	0.000549
-0.751342	0.564514	0.007812	0.000061
-0.754306	0.568978	0.003906	0.000015
-0.753063	0.567104	0.007812	0.000061
-0.756595	0.572436	0.085938	0.007385
-0.751903	0.565358	0.011719	0.000137
-0.753407	0.567622	0.078125	0.006104
-0.743897	0.553383	0.011719	0.000137
-0.759071	0.576189	0.019531	0.000381
-0.764510	0.584475	0.085938	0.007385
-0.744695	0.554571	0.042969	0.001846
-0.753610	0.567927	0.070312	0.004944
-0.757708	0.574122	0.015625	0.000244
-0.747372	0.558565	0.035156	0.001236
-0.758394	0.575162	0.003906	0.000015
-0.748914	0.560873	0.003906	0.000015
-0.749869	0.562304	0.042969	0.001846
-0.747466	0.558706	0.007812	0.000061
-0.749442	0.561664	0.039062	0.001526
-0.759107	0.576244	0.015625	0.000244
-0.752445	0.566173	0.031250	0.000977
-0.743624	0.552977	0.023438	0.000549
-0.745143	0.555238	0.050781	0.002579
-0.745684	0.556045	0.007812	0.000061
-0.745215	0.555345	0.007812	0.000061
-0.748771	0.560657	0.011719	0.000137
-0.750203	0.562805	0.019531	0.000381
-0.754441	0.569181	0.085938	0.007385
-0.751818	0.565230	0.011719	0.000137
-0.747494	0.558747	0.089844	0.008072
-0.744632	0.554477	0.027344	0.000748
-0.766712	0.587848	0.050781	0.002579
-0.756904	0.572903	0.007812	0.000061
-0.763707	0.583249	0.027344	0.000748
-0.745763	0.556163	0.050781	0.002579
-0.752590	0.566391	0.007812	0.000061
-0.754045	0.568584	0.054688	0.002991
-0.754763	0.569667	0.035156	0.001236
-0.756175	0.571800	0.027344	0.000748
-0.743836	0.553291	0.011719	0.000137
-0.752610	0.566422	0.019531	0.000381
-0.749513	0.561769	0.019531	0.000381
-0.746386	0.557093	0.078125	0.006104
-0.767748	0.589436	0.027344	0.000748
-0.759880	0.577418	0.054688	0.002991
-0.751986	0.565484	0.011719	0.000137
-0.752644	0.566472	0.031250	0.000977
-0.755313	0.570498	0.019531	0.000381
-0.749794	0.562191	0.046875	0.002197
-0.757850	0.574336	0.046875	0.002197
-0.748278	0.559920	0.074219	0.005508
-0.757680	0.574078	0.027344	0.000748
-0.749246	0.561370	0.019531	0.000381
-0.754419	0.569148	0.023438	0.000549
-0.749704	0.562056	0.035156	0.001236
-0.748249	0.559877	0.007812	0.000061
-0.750684	0.563527	0.066406	0.004410
-0.745067	0.555125	0.046875	0.002197
-0.754411	0.569135	0.007812	0.000061
-0.746881	0.557832	0.066406	0.004410
-0.751412	0.564620	0.027344	0.000748
-0.756280	0.571959	0.046875	0.002197
-0.750721	0.563582	0.054688	0.002991
-0.750196	0.562794	0.078125	0.006104
-0.751803	0.565208	0.027344	0.000748
-0.748596	0.560396	0.003906	0.000015
-0.743237	0.552401	0.039062	0.001526
