# Energy	Energy^2	Magnetic	Magnet^2
-0.742787	0.551733	0.007812	0.000061
-0.743138	0.552254	0.046875	0.002197
-0.746368	0.557066	0.031250	0.000977
-0.755981	0.571508	0.046875	0.002197
-0.738144	0.544856	0.007812	0.000061
-0.735340	0.540725	0.015625	0.000244
-0.754298	0.568966	0.093750	0.008789
-0.742022	0.550597	0.070312	0.004944
-0.739005	0.546128	0.054688	0.002991
-0.747421	0.558639	0.023438	0.000549
-0.752339	0.566014	0.054688	0.002991
-0.749228	0.561342	0.070312	0.004944
-0.741374	0.549635	0.085938	0.007385
-0.740092	0.547735	0.000000	0.000000
-0.754046	0.568586	0.046875	0.002197
-0.754029	0.568559	0.156250	0.024414
-0.746912	0.557878	0.093750	0.008789
-0.741270	0.549481	0.054688	0.002991
-0.734109	0.538916	0.015625	0.000244
-0.739534	0.546911	0.039062	0.001526
-0.752352	0.566034	0.007812	0.000061
-0.747499	0.558755	0.023438	0.000549
-0.750659	0.563489	0.070312	0.004944
-0.763690	0.583222	0.015625	0.000244
-0.753840	0.568275	0.093750	0.008789
-0.731881	0.535649	0.015625	0.000244
-0.739599	0.547007	0.078125	0.006104
-0.743048	0.552120	0.070312	0.004944
-0.727058	0.528614	0.031250	0.000977
-0.744538	0.554336	0.085938	0.007385
-0.746780	0.557681	0.031250	0.000977
-0.748894	0.560843	0.031250	0.000977
-0.739498	0.546857	0.109375	0.011963
-0.750571	0.563357	0.007812	0.000061
-0.747563	0.558850	0.015625	0.000244
-0.759375	0.576651	0.015625	0.000244
-0.745555	0.555853	0.046875	0.002197
-0.732970	0.537245	0.085938	0.007385
-0.748701	0.560553	0.023438	0.000549
-0.771218	0.594777	0.078125	0.006104
-0.749066	0.561100	0.046875	0.002197
-0.747038	0.558066	0.085938	0.007385
-0.730517	0.533656	0.039062	0.001526
-0.744944	0.554942	0.054688	0.002991
-0.739005	0.546128	0.078125	0.006104
-0.756200	0.571838	0.093750	0.008789
-0.747816	0.559228	0.023438	0.000549
-0.756969	0.573003	0.015625	0.000244
-0.733605	0.538177	0.007812	0.000061
-0.757703	0.574114	0.015625	0.000244
-0.750088	0.562632	0.054688	0.002991
-0.749807	0.562211	0.007812	0.000061
-0.739941	0.547512	0.015625	0.000244
-0.748824	0.560738	0.031250	0.000977
-0.740666	0.548586	0.039062	0.001526
-0.746337	0.557018	0.054688	0.002991
-0.740494	0.548331	0.117188	0.013733
-0.738443	0.545299	0.015625	0.000244
-0.752186	0.565783	0.000000	0.000000
-0.723296	0.523157	0.070312	0.004944
-0.747416	0.558630	0.054688	0.002991
-0.743468	0.552745	0.015625	0.000244
-0.734569	0.539592	0.171875	0.029541
-0.742702	0.551606	0.093750	0.008789
-0.755323	0.570512	0.101562	0.010315
-0.748464	0.560199	0.054688	0.002991
-0.739288	0.546546	0.078125	0.006104
-0.744830	0.554772	0.046875	0.002197
-0.749117	0.561176	0.031250	0.000977
-0.758762	0.575720	0.070312	0.004944
-0.753042	0.567073	0.007812	0.000061
-0.743868	0.553339	0.062500	0.003906
-0.750670	0.563505	0.015625	0.000244
-0.751436	0.564656	0.007812	0.000061
-0.724349	0.524681	0.054688	0.002991
-0.752172	0.565762	0.031250	0.000977
-0.763557	0.583019	0.101562	0.010315
-0.739179	0.546385	0.000000	0.000000
-0.737846	0.544416	0.007812	0.000061
-0.744172	0.553791	0.148438	0.022034
-0.757030	0.573095	0.023438	0.000549
-0.744288	0.553965	0.054688	0.002991
-0.742580	0.551425	0.070312	0.004944
-0.747172	0.558266	0.000000	0.000000
-0.735413	0.540833	0.007812	0.000061
-0.740899	0.548932	0.015625	0.000244
-0.738723	0.545711	0.031250	0.000977
-0.736273	0.542098	0.117188	0.013733
-0.744598	0.554426	0.062500	0.003906
-0.740265	0.547992	0.062500	0.003906
-0.750339	0.563009	0.023438	0.000549
-0.733701	0.538317	0.046875	0.002197
-0.739787	0.547285	0.039062	0.001526
-0.751149	0.564224	0.039062	0.001526
-0.743062	0.552141	0.054688	0.002991
-0.745860	0.556307	0.015625	0.000244
-0.760066	0.577700	0.023438	0.000549
-0.744684	0.554554	0.085938	0.007385
-0.739571	0.546965	0.070312	0.004944
-0.753906	0.568374	0.023438	0.000549
-0.758916	0.575953	0.023438	0.000549
-0.739163	0.546362	0.007812	0.000061
-0.720175	0.518652	0.015625	0.000244
-0.738160	0.544880	0.054688	0.002991
-0.743806	0.553248	0.054688	0.002991
-0.754870	0.569829	0.039062	0.001526
-0.748202	0.559806	0.046875	0.002197
-0.758136	0.574770	0.031250	0.000977
-0.730613	0.533795	0.085938	0.007385
-0.745231	0.555370	0.070312	0.004944
-0.751224	0.564337	0.015625	0.000244
-0.737821	0.544380	0.023438	0.000549
-0.734138	0.538958	0.007812	0.000061
-0.756970	0.573004	0.070312	0.004944
-0.769382	0.591948	0.070312	0.004944
-0.736538	0.542488	0.031250	0.000977
-0.757571	0.573914	0.039062	0.001526
-0.743339	0.552552	0.085938	0.007385
-0.738019	0.544672	0.031250	0.000977
-0.749221	0.561332	0.062500	0.003906
-0.749902	0.562352	0.046875	0.002197
-0.746530	0.557307	0.093750	0.008789
-0.760431	0.578255	0.015625	0.000244
-0.750437	0.563156	0.039062	0.001526
-0.754203	0.568822	0.070312	0.004944
-0.750732	0.563599	0.007812	0.000061
-0.747205	0.558315	0.046875	0.002197
-0.743248	0.552418	0.062500	0.003906
-0.753550	0.567837	0.054688	0.002991
-0.744618	0.554456	0.062500	0.003906
-0.746080	0.556635	0.023438	0.000549
-0.743188	0.552329	0.015625	0.000244
-0.748602	0.560405	0.093750	0.008789
-0.745691	0.556055	0.156250	0.024414
-0.750672	0.563508	0.054688	0.002991
-0.751458	0.564690	0.023438	0.000549
-0.737935	0.544548	0.125000	0.015625
-0.745983	0.556491	0.023438	0.000549
-0.773094	0.597674	0.078125	0.006104
-0.738439	0.545292	0.007812	0.000061
-0.737848	0.544420	0.015625	0.000244
-0.729628	0.532357	0.046875	0.002197
-0.736454	0.542364	0.023438	0.000549
-0.762451	0.581332	0.031250	0.000977
-0.754682	0.569545	0.007812	0.000061
-0.736451	0.542360	0.101562	0.010315
-0.745671	0.556025	0.031250	0.000977
-0.752099	0.565653	0.015625	0.000244
-0.756775	0.572708	0.031250	0.000977
-0.760794	0.578808	0.054688	0.002991
-0.732244	0.536182	0.007812	0.000061
-0.744721	0.554610	0.039062	0.001526
-0.746445	0.557181	0.039062	0.001526
-0.740291	0.548030	0.023438	0.000549
-0.743407	0.552654	0.148438	0.022034
-0.743569	0.552895	0.000000	0.000000
-0.741471	0.549779	0.031250	0.000977
-0.760030	0.577645	0.046875	0.002197
-0.738349	0.545159	0.023438	0.000549
-0.742607	0.551464	0.078125	0.006104
-0.731744	0.535449	0.007812	0.000061
-0.742466	0.551256	0.125000	0.015625
-0.749369	0.561554	0.117188	0.013733
-0.752572	0.566365	0.195312	0.038147
-0.744774	0.554689	0.101562	0.010315
-0.743940	0.553447	0.031250	0.000977
-0.737818	0.544376	0.023438	0.000549
-0.762058	0.580732	0.125000	0.015625
-0.737629	0.544097	0.117188	0.013733
-0.738400	0.545235	0.015625	0.000244
-0.743692	0.553078	0.062500	0.003906
-0.743979	0.553504	0.031250	0.000977
-0.761188	0.579407	0.093750	0.008789
-0.746573	0.557372	0.023438	0.000549
-0.726223	0.527400	0.085938	0.007385
-0.748753	0.560631	0.070312	0.004944
-0.727923	0.529871	0.031250	0.000977
-0.743782	0.553212	0.062500	0.003906
-0.742525	0.551344	0.023438	0.000549
-0.752938	0.566916	0.101562	0.010315
-0.738518	0.545409	0.078125	0.006104
-0.742621	0.551485	0.054688	0.002991
-0.752846	0.566777	0.031250	0.000977
-0.730804	0.534074	0.031250	0.000977
-0.762440	0.581314	0.023438	0.000549
-0.749713	0.562070	0.109375	0.011963
-0.751313	0.564472	0.078125	0.006104
-0.732862	0.537086	0.000000	0.000000
-0.742994	0.552040	0.078125	0.006104
-0.753730	0.568109	0.007812	0.000061
-0.742046	0.550633	0.054688	0.002991
-0.738150	0.544866	0.054688	0.002991
-0.726823	0.528271	0.054688	0.002991
-0.747050	0.558084	0.031250	0.000977
-0.742644	0.551520	0.093750	0.008789
-0.742154	0.550792	0.039062	0.001526
-0.747225	0.558346	0.023438	0.000549
-0.734438	0.539400	0.046875	0.002197
-0.751476	0.564716	0.046875	0.002197
-0.749945	0.562418	0.023438	0.000549
-0.749268	0.561403	0.007812	0.000061
-0.739856	0.547387	0.007812	0.000061
-0.735600	0.541107	0.031250	0.000977
-0.756314	0.572010	0.015625	0.000244
-0.753561	0.567854	0.101562	0.010315
-0.741296	0.549520	0.054688	0.002991
-0.743643	0.553005	0.023438	0.000549
-0.749254	0.561381	0.039062	0.001526
-0.741018	0.549108	0.054688	0.002991
-0.752527	0.566297	0.039062	0.001526
-0.746951	0.557936	0.015625	0.000244
-0.742423	0.551192	0.015625	0.000244
-0.754914	0.569896	0.085938	0.007385
-0.749429	0.561644	0.140625	0.019775
-0.743869	0.553341	0.039062	0.001526
-0.752318	0.565983	0.046875	0.002197
-0.752234	0.565856	0.046875	0.002197
-0.734439	0.539401	0.054688	0.002991
-0.733477	0.537989	0.070312	0.004944
-0.742290	0.550995	0.015625	0.000244
-0.749962	0.562443	0.070312	0.004944
-0.755461	0.570721	0.039062	0.001526
-0.739027	0.546161	0.000000	0.000000
-0.749167	0.561251	0.046875	0.002197
-0.756075	0.571650	0.015625	0.000244
-0.743356	0.552578	0.046875	0.002197
-0.732990	0.537274	0.023438	0.000549
-0.754410	0.569135	0.085938	0.007385
-0.742574	0.551416	0.000000	0.000000
-0.735071	0.540329	0.070312	0.004944
-0.740746	0.548705	0.054688	0.002991
