# Energy	Energy^2	Magnetic	Magnet^2
-0.690022	0.476131	0.125000	0.015625
-0.756566	0.572392	0.156250	0.024414
-0.733441	0.537936	0.093750	0.008789
-0.749506	0.561760	0.125000	0.015625
-0.706733	0.499472	0.125000	0.015625
-0.692190	0.479127	0.031250	0.000977
-0.720069	0.518500	0.000000	0.000000
-0.698048	0.487271	0.000000	0.000000
-0.717758	0.515177	0.031250	0.000977
-0.690283	0.476490	0.156250	0.024414
-0.698638	0.488095	0.093750	0.008789
-0.696844	0.485591	0.093750	0.008789
-0.739048	0.546192	0.093750	0.008789
-0.709413	0.503266	0.031250	0.000977
-0.690617	0.476952	0.031250	0.000977
-0.722879	0.522554	0.000000	0.000000
-0.728195	0.530268	0.031250	0.000977
-0.754597	0.569416	0.062500	0.003906
-0.748412	0.560120	0.062500	0.003906
-0.734797	0.539926	0.187500	0.035156
-0.772541	0.596820	0.093750	0.008789
-0.676738	0.457974	0.031250	0.000977
-0.684773	0.468914	0.125000	0.015625
-0.741155	0.549310	0.250000	0.062500
-0.736871	0.542979	0.000000	0.000000
-0.713787	0.509492	0.187500	0.035156
-0.739424	0.546749	0.062500	0.003906
-0.709189	0.502949	0.187500	0.035156
-0.735863	0.541495	0.062500	0.003906
-0.705235	0.497357	0.156250	0.024414
-0.674323	0.454711	0.031250	0.000977
-0.707026	0.499886	0.000000	0.000000
-0.729562	0.532261	0.312500	0.097656
-0.670662	0.449788	0.125000	0.015625
-0.719670	0.517924	0.000000	0.000000
-0.759363	0.576632	0.156250	0.024414
-0.719753	0.518045	0.218750	0.047852
-0.717562	0.514895	0.093750	0.008789
-0.700567	0.490794	0.093750	0.008789
-0.681245	0.464094	0.000000	0.000000
-0.705772	0.498113	0.031250	0.000977
-0.702216	0.493107	0.062500	0.003906
-0.750648	0.563472	0.093750	0.008789
-0.715133	0.511415	0.000000	0.000000
-0.739550	0.546934	0.062500	0.003906
-0.700899	0.491260	0.312500	0.097656
-0.693316	0.480687	0.000000	0.000000
-0.693778	0.481328	0.125000	0.015625
-0.726063	0.527168	0.031250	0.000977
-0.697969	0.487161	0.125000	0.015625
-0.733865	0.538558	0.156250	0.024414
-0.704515	0.496342	0.031250	0.000977
-0.705437	0.497641	0.031250	0.000977
-0.706999	0.499848	0.125000	0.015625
-0.737410	0.543774	0.093750	0.008789
-0.734199	0.539049	0.031250	0.000977
-0.712431	0.507558	0.031250	0.000977
-0.715719	0.512253	0.187500	0.035156
-0.759177	0.576350	0.062500	0.003906
-0.686573	0.471382	0.031250	0.000977
-0.733151	0.537511	0.218750	0.047852
-0.730762	0.534013	0.093750	0.008789
-0.670651	0.449773	0.187500	0.035156
-0.711838	0.506713	0.156250	0.024414
-0.727436	0.529163	0.031250	0.000977
-0.688619	0.474196	0.000000	0.000000
-0.752648	0.566479	0.093750	0.008789
-0.701392	0.491951	0.062500	0.003906
-0.717825	0.515273	0.093750	0.008789
-0.686974	0.471933	0.125000	0.015625
-0.693476	0.480909	0.218750	0.047852
-0.718655	0.516464	0.031250	0.000977
-0.747717	0.559081	0.093750	0.008789
-0.677357	0.458812	0.156250	0.024414
-0.748345	0.560020	0.062500	0.003906
-0.671563	0.450997	0.187500	0.035156
-0.720894	0.519689	0.000000	0.000000
-0.755104	0.570181	0.031250	0.000977
-0.714685	0.510774	0.031250	0.000977
-0.662849	0.439368	0.093750	0.008789
-0.680788	0.463472	0.000000	0.000000
-0.718841	0.516733	0.031250	0.000977
-0.740356	0.548126	0.187500	0.035156
-0.696556	0.485190	0.156250	0.024414
-0.754012	0.568535	0.062500	0.003906
-0.691695	0.478443	0.218750	0.047852
-0.729744	0.532527	0.062500	0.003906
-0.710816	0.505259	0.000000	0.000000
-0.696876	0.485637	0.125000	0.015625
-0.675885	0.456821	0.031250	0.000977
-0.677678	0.459248	0.125000	0.015625
-0.732487	0.536538	0.062500	0.003906
-0.682495	0.465800	0.000000	0.000000
-0.705734	0.498060	0.125000	0.015625
-0.719194	0.517240	0.125000	0.015625
-0.695297	0.483438	0.281250	0.079102
-0.721264	0.520222	0.125000	0.015625
-0.685556	0.469987	0.000000	0.000000
-0.709854	0.503892	0.125000	0.015625
-0.717638	0.515005	0.156250	0.024414
-0.721172	0.520089	0.093750	0.008789
-0.719914	0.518276	0.125000	0.015625
-0.669826	0.448666	0.062500	0.003906
-0.680053	0.462472	0.125000	0.015625
-0.759727	0.577185	0.062500	0.003906
-0.705540	0.497787	0.000000	0.000000
-0.713691	0.509355	0.000000	0.000000
-0.705051	0.497097	0.156250	0.024414
-0.691742	0.478507	0.000000	0.000000
-0.712645	0.507863	0.156250	0.024414
-0.736466	0.542383	0.125000	0.015625
-0.693481	0.480915	0.187500	0.035156
-0.718011	0.515539	0.156250	0.024414
-0.757919	0.574442	0.125000	0.015625
-0.746909	0.557873	0.031250	0.000977
-0.713189	0.508638	0.000000	0.000000
-0.700061	0.490086	0.062500	0.003906
-0.710789	0.505221	0.093750	0.008789
-0.747387	0.558588	0.125000	0.015625
-0.743056	0.552132	0.156250	0.024414
-0.730254	0.533271	0.093750	0.008789
-0.712738	0.507995	0.031250	0.000977
-0.700861	0.491206	0.156250	0.024414
-0.747631	0.558952	0.093750	0.008789
-0.734865	0.540026	0.125000	0.015625
-0.765603	0.586149	0.000000	0.000000
-0.778018	0.605312	0.093750	0.008789
-0.719574	0.517787	0.031250	0.000977
-0.720654	0.519342	0.156250	0.024414
-0.730637	0.533830	0.031250	0.000977
-0.681284	0.464148	0.031250	0.000977
-0.700333	0.490466	0.031250	0.000977
-0.784469	0.615392	0.031250	0.000977
-0.736196	0.541985	0.093750	0.008789
-0.751625	0.564940	0.093750	0.008789
-0.701961	0.492749	0.218750	0.047852
-0.673424	0.453500	0.062500	0.003906
-0.667681	0.445798	0.156250	0.024414
-0.702472	0.493466	0.125000	0.015625
-0.705887	0.498276	0.093750	0.008789
-0.713432	0.508985	0.187500	0.035156
-0.699816	0.489742	0.031250	0.000977
-0.710236	0.504435	0.156250	0.024414
-0.720172	0.518648	0.031250	0.000977
-0.747949	0.559428	0.000000	0.000000
-0.709219	0.502992	0.062500	0.003906
-0.715562	0.512029	0.062500	0.003906
-0.718894	0.516809	0.093750	0.008789
-0.709945	0.504022	0.218750	0.047852
-0.718077	0.515635	0.093750	0.008789
-0.706477	0.499110	0.125000	0.015625
-0.750625	0.563438	0.031250	0.000977
-0.763378	0.582746	0.062500	0.003906
-0.720596	0.519259	0.250000	0.062500
-0.692597	0.479690	0.187500	0.035156
-0.695980	0.484388	0.218750	0.047852
-0.734061	0.538845	0.125000	0.015625
-0.728380	0.530537	0.218750	0.047852
-0.707692	0.500828	0.000000	0.000000
-0.746173	0.556774	0.031250	0.000977
-0.715836	0.512421	0.156250	0.024414
-0.702158	0.493025	0.031250	0.000977
-0.705988	0.498419	0.093750	0.008789
-0.685862	0.470407	0.000000	0.000000
-0.690019	0.476126	0.156250	0.024414
-0.726443	0.527719	0.156250	0.024414
-0.732968	0.537242	0.062500	0.003906
-0.702159	0.493027	0.062500	0.003906
-0.706496	0.499136	0.062500	0.003906
-0.769918	0.592774	0.093750	0.008789
-0.689913	0.475980	0.281250	0.079102
-0.750258	0.562887	0.093750	0.008789
-0.681748	0.464780	0.156250	0.024414
-0.702061	0.492890	0.125000	0.015625
-0.771564	0.595310	0.156250	0.024414
-0.708516	0.501995	0.062500	0.003906
-0.717045	0.514153	0.187500	0.035156
-0.670604	0.449710	0.156250	0.024414
-0.765560	0.586082	0.062500	0.003906
-0.733915	0.538631	0.031250	0.000977
-0.700917	0.491284	0.093750	0.008789
-0.698697	0.488177	0.093750	0.008789
-0.714366	0.510318	0.093750	0.008789
-0.719336	0.517444	0.031250	0.000977
-0.725527	0.526390	0.156250	0.024414
-0.729931	0.532799	0.218750	0.047852
-0.678681	0.460608	0.062500	0.003906
-0.714790	0.510925	0.093750	0.008789
-0.721890	0.521125	0.000000	0.000000
-0.731736	0.535438	0.156250	0.024414
-0.770543	0.593737	0.062500	0.003906
-0.706980	0.499821	0.125000	0.015625
-0.684682	0.468790	0.093750	0.008789
-0.701092	0.491531	0.125000	0.015625
-0.701552	0.492175	0.093750	0.008789
-0.717297	0.514515	0.031250	0.000977
-0.732086	0.535949	0.062500	0.003906
-0.672978	0.452900	0.093750	0.008789
-0.740660	0.548577	0.000000	0.000000
-0.689867	0.475917	0.125000	0.015625
-0.743177	0.552313	0.156250	0.024414
-0.766914	0.588157	0.031250	0.000977
-0.708460	0.501916	0.031250	0.000977
-0.764333	0.584205	0.093750	0.008789
-0.708424	0.501864	0.062500	0.003906
-0.725798	0.526783	0.187500	0.035156
-0.702804	0.493934	0.093750	0.008789
-0.731087	0.534489	0.187500	0.035156
-0.792189	0.627563	0.093750	0.008789
-0.690622	0.476959	0.093750	0.008789
-0.741520	0.549853	0.125000	0.015625
-0.723971	0.524135	0.093750	0.008789
-0.770016	0.592924	0.000000	0.000000
-0.735506	0.540969	0.125000	0.015625
-0.695820	0.484166	0.062500	0.003906
-0.703493	0.494902	0.062500	0.003906
-0.727216	0.528843	0.062500	0.003906
-0.737021	0.543200	0.156250	0.024414
-0.692062	0.478950	0.062500	0.003906
-0.701266	0.491774	0.031250	0.000977
-0.725298	0.526057	0.031250	0.000977
-0.712782	0.508058	0.062500	0.003906
-0.746313	0.556983	0.218750	0.047852
-0.715563	0.512031	0.031250	0.000977
-0.675507	0.456310	0.218750	0.047852
-0.694289	0.482037	0.093750	0.008789
-0.724356	0.524692	0.125000	0.015625
-0.689020	0.474749	0.062500	0.003906
-0.729660	0.532404	0.031250	0.000977
-0.721878	0.521107	0.187500	0.035156
-0.713374	0.508903	0.031250	0.000977
-0.715427	0.511836	0.062500	0.003906
-0.746859	0.557798	0.218750	0.047852
-0.709374	0.503211	0.000000	0.000000
-0.733648	0.538239	0.093750	0.008789
-0.700939	0.491315	0.218750	0.047852
-0.724743	0.525253	0.093750	0.008789
-0.718853	0.516749	0.156250	0.024414
-0.697267	0.486181	0.000000	0.000000
-0.781271	0.610384	0.093750	0.008789
-0.694639	0.482523	0.093750	0.008789
-0.698779	0.488292	0.125000	0.015625
-0.685288	0.469619	0.000000	0.000000
-0.740830	0.548830	0.031250	0.000977
-0.710807	0.505246	0.031250	0.000977
-0.712704	0.507946	0.093750	0.008789
-0.753353	0.567541	0.062500	0.003906
-0.719100	0.517104	0.093750	0.008789
-0.726810	0.528253	0.156250	0.024414
-0.715417	0.511822	0.062500	0.003906
-0.732187	0.536097	0.062500	0.003906
-0.689156	0.474936	0.281250	0.079102
-0.726569	0.527902	0.125000	0.015625
-0.689234	0.475044	0.031250	0.000977
-0.737648	0.544124	0.125000	0.015625
-0.712239	0.507284	0.187500	0.035156
-0.690972	0.477442	0.156250	0.024414
-0.697708	0.486796	0.000000	0.000000
-0.691550	0.478242	0.093750	0.008789
-0.723771	0.523845	0.093750	0.008789
-0.729794	0.532599	0.062500	0.003906
-0.679366	0.461538	0.062500	0.003906
-0.754214	0.568839	0.093750	0.008789
-0.772451	0.596680	0.250000	0.062500
-0.713701	0.509369	0.156250	0.024414
-0.743414	0.552665	0.000000	0.000000
-0.704770	0.496701	0.062500	0.003906
-0.765239	0.585591	0.093750	0.008789
-0.710343	0.504587	0.093750	0.008789
-0.731583	0.535213	0.187500	0.035156
-0.717906	0.515390	0.156250	0.024414
-0.706224	0.498752	0.250000	0.062500
-0.719526	0.517718	0.156250	0.024414
-0.687186	0.472225	0.187500	0.035156
-0.715888	0.512496	0.156250	0.024414
-0.777433	0.604401	0.000000	0.000000
-0.668416	0.446781	0.125000	0.015625
-0.671880	0.451423	0.218750	0.047852
-0.658026	0.432998	0.093750	0.008789
-0.703744	0.495256	0.093750	0.008789
-0.679166	0.461266	0.281250	0.079102
-0.699630	0.489483	0.031250	0.000977
-0.771681	0.595491	0.000000	0.000000
-0.683310	0.466913	0.062500	0.003906
-0.720945	0.519762	0.031250	0.000977
-0.713839	0.509567	0.125000	0.015625
