# Energy	Energy^2	Magnetic	Magnet^2	Cycles
-0.724951	0.525554	0.187500	0.035156	28
-0.685992	0.470585	0.250000	0.062500	30
-0.698040	0.487260	0.062500	0.003906	39
-0.741879	0.550385	0.031250	0.000977	71
-0.704006	0.495625	0.156250	0.024414	22
-0.730577	0.533742	0.031250	0.000977	28
-0.707996	0.501259	0.156250	0.024414	28
-0.679754	0.462065	0.062500	0.003906	79
-0.740173	0.547856	0.187500	0.035156	14
-0.695193	0.483293	0.062500	0.003906	18
-0.727158	0.528759	0.093750	0.008789	17
-0.736923	0.543055	0.156250	0.024414	24
-0.704160	0.495842	0.093750	0.008789	18
-0.738463	0.545327	0.156250	0.024414	33
-0.705853	0.498228	0.000000	0.000000	35
-0.733563	0.538115	0.000000	0.000000	41
-0.715381	0.511770	0.343750	0.118164	45
-0.706538	0.499196	0.187500	0.035156	25
-0.749028	0.561043	0.062500	0.003906	43
-0.716202	0.512945	0.156250	0.024414	16
-0.726413	0.527676	0.000000	0.000000	17
-0.666568	0.444312	0.125000	0.015625	33
-0.746925	0.557896	0.125000	0.015625	26
-0.657726	0.432604	0.000000	0.000000	56
-0.703840	0.495390	0.000000	0.000000	32
-0.693223	0.480558	0.062500	0.003906	24
-0.656507	0.431001	0.062500	0.003906	40
-0.785082	0.616353	0.187500	0.035156	35
-0.684940	0.469143	0.031250	0.000977	18
-0.741629	0.550014	0.062500	0.003906	29
-0.718956	0.516898	0.062500	0.003906	24
-0.673228	0.453235	0.218750	0.047852	37
-0.709116	0.502846	0.093750	0.008789	22
-0.779590	0.607761	0.093750	0.008789	28
-0.698383	0.487739	0.031250	0.000977	27
-0.636999	0.405768	0.156250	0.024414	41
-0.738625	0.545566	0.062500	0.003906	25
-0.672830	0.452700	0.031250	0.000977	36
-0.726018	0.527103	0.093750	0.008789	26
-0.686358	0.471088	0.031250	0.000977	32
-0.682188	0.465381	0.062500	0.003906	26
-0.699244	0.488942	0.062500	0.003906	45
-0.745348	0.555543	0.031250	0.000977	31
-0.697194	0.486079	0.062500	0.003906	52
-0.700710	0.490994	0.031250	0.000977	18
-0.666699	0.444487	0.031250	0.000977	18
-0.661045	0.436980	0.031250	0.000977	22
-0.639002	0.408324	0.000000	0.000000	16
-0.697142	0.486007	0.062500	0.003906	41
-0.738090	0.544777	0.062500	0.003906	36
-0.684092	0.467982	0.093750	0.008789	29
