# Energy	Energy^2	Magnetic	Magnet^2
-0.755592	0.570920	0.035156	0.001236
-0.745885	0.556345	0.015625	0.000244
-0.754320	0.568998	0.042969	0.001846
-0.740945	0.548999	0.042969	0.001846
-0.753956	0.568449	0.070312	0.004944
-0.743605	0.552948	0.007812	0.000061
-0.744256	0.553918	0.089844	0.008072
-0.742461	0.551248	0.027344	0.000748
-0.750957	0.563937	0.023438	0.000549
-0.755663	0.571027	0.050781	0.002579
-0.744150	0.553759	0.027344	0.000748
-0.748125	0.559691	0.011719	0.000137
-0.756786	0.572724	0.000000	0.000000
-0.771561	0.595306	0.085938	0.007385
-0.755097	0.570172	0.000000	0.000000
-0.741799	0.550266	0.023438	0.000549
-0.751606	0.564911	0.003906	0.000015
-0.743477	0.552758	0.023438	0.000549
-0.747885	0.559332	0.019531	0.000381
-0.753134	0.567210	0.156250	0.024414
-0.741857	0.550352	0.082031	0.006729
-0.747584	0.558882	0.000000	0.000000
-0.745216	0.555347	0.046875	0.002197
-0.745123	0.555209	0.148438	0.022034
-0.749148	0.561223	0.007812	0.000061
-0.753585	0.567890	0.007812	0.000061
-0.755833	0.571283	0.027344	0.000748
-0.764532	0.584510	0.003906	0.000015
-0.755370	0.570583	0.031250	0.000977
-0.745864	0.556314	0.031250	0.000977
-0.743099	0.552196	0.039062	0.001526
-0.752647	0.566477	0.046875	0.002197
-0.756209	0.571851	0.011719	0.000137
-0.750647	0.563471	0.011719	0.000137
-0.747340	0.558517	0.085938	0.007385
-0.750428	0.563142	0.101562	0.010315
-0.747380	0.558577	0.078125	0.006104
-0.755774	0.571194	0.023438	0.000549
-0.751165	0.564249	0.039062	0.001526
-0.755527	0.570821	0.007812	0.000061
-0.742188	0.550843	0.042969	0.001846
-0.747962	0.559447	0.070312	0.004944
-0.750030	0.562544	0.027344	0.000748
-0.743757	0.553174	0.011719	0.000137
-0.759782	0.577268	0.074219	0.005508
-0.745692	0.556057	0.125000	0.015625
-0.742704	0.551609	0.042969	0.001846
-0.760212	0.577922	0.003906	0.000015
-0.749342	0.561513	0.042969	0.001846
-0.749513	0.561770	0.019531	0.000381
-0.747877	0.559320	0.007812	0.000061
-0.756030	0.571582	0.003906	0.000015
-0.748035	0.559557	0.003906	0.000015
-0.747056	0.558092	0.023438	0.000549
-0.758354	0.575100	0.031250	0.000977
-0.748037	0.559559	0.007812	0.000061
-0.754158	0.568754	0.003906	0.000015
-0.748012	0.559522	0.015625	0.000244
-0.751938	0.565411	0.003906	0.000015
-0.752996	0.567003	0.039062	0.001526
-0.736299	0.542136	0.003906	0.000015
-0.752043	0.565569	0.003906	0.000015
-0.749834	0.562251	0.007812	0.000061
-0.746819	0.557739	0.019531	0.000381
-0.748370	0.560057	0.039062	0.001526
-0.749572	0.561859	0.019531	0.000381
-0.750196	0.562794	0.003906	0.000015
-0.748866	0.560800	0.015625	0.000244
-0.757172	0.573309	0.023438	0.000549
-0.743058	0.552135	0.003906	0.000015
-0.743201	0.552348	0.003906	0.000015
-0.746650	0.557486	0.011719	0.000137
-0.746746	0.557630	0.054688	0.002991
-0.751242	0.564364	0.039062	0.001526
-0.742270	0.550965	0.019531	0.000381
-0.749523	0.561785	0.089844	0.008072
-0.752037	0.565559	0.027344	0.000748
-0.743305	0.552503	0.085938	0.007385
-0.751489	0.564736	0.007812	0.000061
-0.757493	0.573796	0.078125	0.006104
-0.748279	0.559921	0.042969	0.001846
-0.755796	0.571227	0.031250	0.000977
-0.745328	0.555514	0.019531	0.000381
-0.748141	0.559715	0.015625	0.000244
-0.745504	0.555776	0.046875	0.002197
-0.749472	0.561708	0.031250	0.000977
-0.755162	0.570269	0.023438	0.000549
-0.742791	0.551738	0.050781	0.002579
-0.744236	0.553887	0.031250	0.000977
-0.752977	0.566974	0.031250	0.000977
-0.753596	0.567908	0.035156	0.001236
-0.747654	0.558986	0.023438	0.000549
-0.760929	0.579012	0.078125	0.006104
-0.745426	0.555659	0.093750	0.008789
-0.749244	0.561367	0.039062	0.001526
-0.752751	0.566634	0.078125	0.006104
-0.748271	0.559909	0.000000	0.000000
-0.752623	0.566442	0.031250	0.000977
-0.741323	0.549559	0.015625	0.000244
-0.742319	0.551038	0.035156	0.001236
-0.743507	0.552803	0.015625	0.000244
-0.745549	0.555843	0.015625	0.000244
-0.754723	0.569607	0.003906	0.000015
-0.735018	0.540252	0.003906	0.000015
-0.751720	0.565083	0.074219	0.005508
-0.748611	0.560419	0.003906	0.000015
-0.741824	0.550302	0.003906	0.000015
-0.755680	0.571053	0.007812	0.000061
-0.748878	0.560818	0.003906	0.000015
-0.745674	0.556030	0.007812	0.000061
-0.756772	0.572704	0.050781	0.002579
-0.751613	0.564922	0.121094	0.014664
-0.748597	0.560398	0.054688	0.002991
-0.751066	0.564101	0.089844	0.008072
-0.749310	0.561465	0.050781	0.002579
-0.750185	0.562778	0.054688	0.002991
-0.759019	0.576110	0.003906	0.000015
-0.743855	0.553321	0.035156	0.001236
-0.746956	0.557943	0.003906	0.000015
-0.762838	0.581921	0.039062	0.001526
-0.753991	0.568503	0.000000	0.000000
-0.745490	0.555755	0.015625	0.000244
-0.748828	0.560743	0.046875	0.002197
-0.747185	0.558285	0.011719	0.000137
-0.754079	0.568635	0.011719	0.000137
-0.746092	0.556654	0.070312	0.004944
-0.752557	0.566341	0.003906	0.000015
-0.742361	0.551099	0.011719	0.000137
-0.740934	0.548983	0.003906	0.000015
-0.742402	0.551160	0.007812	0.000061
-0.746638	0.557468	0.074219	0.005508
-0.752114	0.565676	0.066406	0.004410
-0.743763	0.553183	0.109375	0.011963
-0.747126	0.558197	0.054688	0.002991
-0.746102	0.556669	0.039062	0.001526
-0.744960	0.554966	0.148438	0.022034
-0.750642	0.563463	0.019531	0.000381
-0.743863	0.553333	0.023438	0.000549
-0.746940	0.557919	0.031250	0.000977
-0.749945	0.562417	0.046875	0.002197
-0.753091	0.567147	0.035156	0.001236
-0.756034	0.571588	0.050781	0.002579
-0.743068	0.552150	0.031250	0.000977
-0.756775	0.572708	0.089844	0.008072
-0.737057	0.543253	0.070312	0.004944
-0.742809	0.551765	0.082031	0.006729
-0.746064	0.556611	0.027344	0.000748
-0.742661	0.551546	0.039062	0.001526
-0.756738	0.572652	0.007812	0.000061
-0.747491	0.558743	0.046875	0.002197
-0.756759	0.572684	0.003906	0.000015
-0.743046	0.552118	0.085938	0.007385
-0.750581	0.563372	0.042969	0.001846
-0.733163	0.537528	0.003906	0.000015
-0.751896	0.565347	0.035156	0.001236
-0.754531	0.569317	0.046875	0.002197
-0.751998	0.565501	0.015625	0.000244
-0.745005	0.555033	0.003906	0.000015
-0.752198	0.565802	0.054688	0.002991
-0.749408	0.561613	0.046875	0.002197
-0.756258	0.571926	0.050781	0.002579
-0.745551	0.555846	0.074219	0.005508
-0.745375	0.555584	0.019531	0.000381
-0.740345	0.548111	0.070312	0.004944
-0.754897	0.569869	0.070312	0.004944
-0.762365	0.581201	0.003906	0.000015
-0.743644	0.553006	0.046875	0.002197
-0.749540	0.561810	0.003906	0.000015
-0.756573	0.572402	0.003906	0.000015
-0.749175	0.561263	0.003906	0.000015
-0.752214	0.565826	0.003906	0.000015
-0.748675	0.560514	0.039062	0.001526
-0.736989	0.543152	0.039062	0.001526
-0.747478	0.558723	0.027344	0.000748
-0.747491	0.558743	0.085938	0.007385
-0.749373	0.561561	0.042969	0.001846
-0.747485	0.558733	0.054688	0.002991
-0.747080	0.558129	0.000000	0.000000
-0.739518	0.546886	0.015625	0.000244
-0.750590	0.563386	0.019531	0.000381
-0.744474	0.554241	0.039062	0.001526
-0.739356	0.546648	0.015625	0.000244
-0.768143	0.590043	0.031250	0.000977
-0.763437	0.582837	0.019531	0.000381
-0.752954	0.566940	0.078125	0.006104
-0.735394	0.540805	0.085938	0.007385
-0.750767	0.563651	0.003906	0.000015
-0.744748	0.554649	0.027344	0.000748
-0.742933	0.551949	0.050781	0.002579
-0.747781	0.559176	0.058594	0.003433
-0.755722	0.571116	0.023438	0.000549
-0.748274	0.559914	0.015625	0.000244
-0.741798	0.550264	0.027344	0.000748
-0.745621	0.555951	0.070312	0.004944
-0.746250	0.556889	0.035156	0.001236
-0.746517	0.557288	0.023438	0.000549
-0.741264	0.549472	0.003906	0.000015
-0.746394	0.557103	0.050781	0.002579
-0.753665	0.568010	0.062500	0.003906
-0.754903	0.569879	0.007812	0.000061
-0.742094	0.550704	0.003906	0.000015
-0.746503	0.557267	0.015625	0.000244
-0.748592	0.560390	0.050781	0.002579
-0.753500	0.567762	0.058594	0.003433
