# Energy	Energy^2	Magnetic	Magnet^2	Cycles
-0.729494	0.532162	0.125000	0.015625	52
-0.663376	0.440067	0.125000	0.015625	14
-0.726803	0.528242	0.187500	0.035156	29
-0.725108	0.525781	0.187500	0.035156	23
-0.779530	0.607666	0.062500	0.003906	50
-0.671965	0.451537	0.062500	0.003906	29
-0.689907	0.475972	0.062500	0.003906	21
-0.772893	0.597363	0.125000	0.015625	25
-0.717552	0.514881	0.062500	0.003906	22
-0.706780	0.499538	0.187500	0.035156	36
-0.743934	0.553438	0.187500	0.035156	20
-0.644935	0.415941	0.062500	0.003906	14
-0.643194	0.413698	0.312500	0.097656	36
-0.695077	0.483132	0.125000	0.015625	46
-0.585753	0.343107	0.000000	0.000000	53
-0.743259	0.552433	0.125000	0.015625	20
-0.679605	0.461863	0.187500	0.035156	23
-0.646116	0.417466	0.250000	0.062500	35
-0.780971	0.609916	0.062500	0.003906	23
-0.637427	0.406313	0.062500	0.003906	21
-0.749465	0.561698	0.187500	0.035156	24
-0.645111	0.416168	0.125000	0.015625	18
-0.695161	0.483249	0.125000	0.015625	21
-0.640759	0.410572	0.062500	0.003906	20
-0.699819	0.489746	0.062500	0.003906	22
-0.712453	0.507590	0.187500	0.035156	22
-0.715114	0.511388	0.062500	0.003906	25
-0.614040	0.377045	0.062500	0.003906	25
-0.644974	0.415991	0.125000	0.015625	37
-0.628120	0.394535	0.062500	0.003906	23
-0.739263	0.546510	0.062500	0.003906	32
-0.640020	0.409626	0.062500	0.003906	37
-0.735409	0.540826	0.062500	0.003906	25
-0.642581	0.412910	0.000000	0.000000	24
-0.797517	0.636033	0.125000	0.015625	10
-0.707321	0.500303	0.187500	0.035156	39
-0.624273	0.389717	0.000000	0.000000	18
-0.669825	0.448666	0.062500	0.003906	22
-0.661716	0.437868	0.000000	0.000000	44
-0.695545	0.483783	0.250000	0.062500	49
-0.747291	0.558444	0.375000	0.140625	23
-0.755128	0.570219	0.187500	0.035156	20
-0.666565	0.444309	0.250000	0.062500	56
-0.646573	0.418056	0.125000	0.015625	25
-0.751467	0.564703	0.062500	0.003906	25
-0.705697	0.498008	0.187500	0.035156	32
-0.725753	0.526718	0.125000	0.015625	13
-0.653127	0.426575	0.375000	0.140625	37
-0.653283	0.426778	0.187500	0.035156	19
-0.734465	0.539439	0.250000	0.062500	25
-0.677168	0.458557	0.250000	0.062500	30
-0.707597	0.500693	0.000000	0.000000	35
-0.715285	0.511632	0.125000	0.015625	32
-0.645369	0.416502	0.062500	0.003906	25
-0.761037	0.579177	0.000000	0.000000	27
-0.743899	0.553386	0.000000	0.000000	27
-0.662016	0.438265	0.125000	0.015625	30
-0.654926	0.428929	0.000000	0.000000	18
-0.685547	0.469974	0.125000	0.015625	24
-0.706365	0.498951	0.375000	0.140625	14
-0.662536	0.438954	0.125000	0.015625	15
-0.648453	0.420491	0.062500	0.003906	25
-0.698772	0.488282	0.250000	0.062500	52
-0.684535	0.468588	0.000000	0.000000	23
-0.706974	0.499812	0.062500	0.003906	25
-0.784381	0.615254	0.062500	0.003906	23
-0.721627	0.520745	0.062500	0.003906	23
-0.683034	0.466536	0.125000	0.015625	33
-0.673692	0.453862	0.187500	0.035156	16
-0.745208	0.555334	0.187500	0.035156	24
-0.695001	0.483026	0.250000	0.062500	13
-0.663360	0.440046	0.125000	0.015625	29
-0.634816	0.402992	0.000000	0.000000	22
-0.704027	0.495654	0.187500	0.035156	18
-0.682422	0.465700	0.125000	0.015625	19
-0.667264	0.445242	0.062500	0.003906	25
-0.616003	0.379460	0.187500	0.035156	28
-0.655176	0.429255	0.000000	0.000000	32
-0.683752	0.467517	0.062500	0.003906	18
-0.678169	0.459913	0.125000	0.015625	21
-0.632866	0.400520	0.125000	0.015625	29
-0.657182	0.431888	0.250000	0.062500	37
-0.704972	0.496986	0.375000	0.140625	29
-0.730194	0.533184	0.062500	0.003906	28
-0.686189	0.470856	0.312500	0.097656	22
-0.734563	0.539582	0.375000	0.140625	36
-0.692899	0.480110	0.312500	0.097656	25
-0.659222	0.434574	0.062500	0.003906	24
-0.603306	0.363979	0.125000	0.015625	23
-0.681822	0.464882	0.187500	0.035156	25
-0.693400	0.480804	0.125000	0.015625	34
