# Energy	Energy^2	Magnetic	Magnet^2
-0.741527	0.549862	0.062500	0.003906
-0.718349	0.516026	0.171875	0.029541
-0.742686	0.551582	0.093750	0.008789
-0.739558	0.546946	0.046875	0.002197
-0.732258	0.536202	0.046875	0.002197
-0.741647	0.550040	0.031250	0.000977
-0.734706	0.539793	0.015625	0.000244
-0.717178	0.514345	0.062500	0.003906
-0.728020	0.530013	0.046875	0.002197
-0.730781	0.534040	0.062500	0.003906
-0.721891	0.521127	0.031250	0.000977
-0.712965	0.508319	0.140625	0.019775
-0.736767	0.542826	0.109375	0.011963
-0.732709	0.536863	0.015625	0.000244
-0.724639	0.525101	0.031250	0.000977
-0.724887	0.525461	0.062500	0.003906
-0.741219	0.549406	0.140625	0.019775
-0.715222	0.511542	0.046875	0.002197
-0.719118	0.517130	0.015625	0.000244
-0.728084	0.530106	0.046875	0.002197
-0.722589	0.522135	0.046875	0.002197
-0.701174	0.491645	0.078125	0.006104
-0.765134	0.585430	0.046875	0.002197
-0.724502	0.524903	0.093750	0.008789
-0.747976	0.559468	0.109375	0.011963
-0.734155	0.538983	0.109375	0.011963
-0.758957	0.576016	0.046875	0.002197
-0.725355	0.526140	0.125000	0.015625
-0.727556	0.529337	0.078125	0.006104
-0.741399	0.549672	0.062500	0.003906
-0.733877	0.538575	0.093750	0.008789
-0.712899	0.508226	0.109375	0.011963
-0.742030	0.550609	0.015625	0.000244
-0.743723	0.553124	0.078125	0.006104
-0.744261	0.553925	0.046875	0.002197
-0.732244	0.536182	0.000000	0.000000
-0.732129	0.536012	0.125000	0.015625
-0.718590	0.516371	0.031250	0.000977
-0.716030	0.512699	0.078125	0.006104
-0.728863	0.531242	0.093750	0.008789
-0.728887	0.531276	0.093750	0.008789
-0.764008	0.583708	0.031250	0.000977
-0.737716	0.544225	0.015625	0.000244
-0.733928	0.538650	0.078125	0.006104
-0.744747	0.554649	0.000000	0.000000
-0.725284	0.526037	0.046875	0.002197
-0.737060	0.543257	0.031250	0.000977
-0.757876	0.574376	0.125000	0.015625
-0.722745	0.522360	0.046875	0.002197
-0.716412	0.513247	0.031250	0.000977
-0.718574	0.516349	0.093750	0.008789
-0.751876	0.565317	0.046875	0.002197
-0.721852	0.521071	0.015625	0.000244
-0.725802	0.526788	0.187500	0.035156
-0.736289	0.542122	0.062500	0.003906
-0.724721	0.525221	0.140625	0.019775
-0.739530	0.546905	0.031250	0.000977
-0.711256	0.505885	0.031250	0.000977
-0.719075	0.517069	0.031250	0.000977
-0.710857	0.505317	0.031250	0.000977
-0.734942	0.540140	0.078125	0.006104
-0.725970	0.527032	0.000000	0.000000
-0.726484	0.527779	0.093750	0.008789
-0.723588	0.523580	0.031250	0.000977
-0.742935	0.551952	0.046875	0.002197
-0.718084	0.515645	0.093750	0.008789
-0.713515	0.509104	0.125000	0.015625
-0.753314	0.567482	0.000000	0.000000
-0.747154	0.558239	0.015625	0.000244
-0.752782	0.566681	0.031250	0.000977
-0.759457	0.576775	0.062500	0.003906
-0.749890	0.562335	0.093750	0.008789
-0.726661	0.528036	0.015625	0.000244
-0.730024	0.532935	0.078125	0.006104
-0.718935	0.516867	0.109375	0.011963
-0.700770	0.491078	0.015625	0.000244
-0.717958	0.515463	0.093750	0.008789
-0.718688	0.516512	0.046875	0.002197
-0.746491	0.557249	0.062500	0.003906
-0.741902	0.550418	0.015625	0.000244
-0.727477	0.529223	0.093750	0.008789
-0.732012	0.535842	0.031250	0.000977
-0.723880	0.524002	0.078125	0.006104
-0.767416	0.588927	0.046875	0.002197
-0.737131	0.543362	0.093750	0.008789
-0.723847	0.523955	0.312500	0.097656
-0.715232	0.511556	0.078125	0.006104
-0.738605	0.545537	0.031250	0.000977
-0.734944	0.540143	0.125000	0.015625
-0.742032	0.550612	0.125000	0.015625
-0.735824	0.541437	0.031250	0.000977
-0.733328	0.537769	0.031250	0.000977
-0.750702	0.563553	0.015625	0.000244
-0.754592	0.569410	0.171875	0.029541
-0.718198	0.515808	0.000000	0.000000
-0.698723	0.488214	0.000000	0.000000
-0.720781	0.519525	0.062500	0.003906
-0.741147	0.549299	0.031250	0.000977
-0.726415	0.527679	0.015625	0.000244
-0.758910	0.575944	0.015625	0.000244
-0.741644	0.550036	0.031250	0.000977
-0.738036	0.544697	0.031250	0.000977
-0.720009	0.518414	0.031250	0.000977
-0.714136	0.509990	0.046875	0.002197
-0.715923	0.512546	0.203125	0.041260
-0.728414	0.530587	0.031250	0.000977
-0.715339	0.511710	0.062500	0.003906
-0.737921	0.544527	0.046875	0.002197
-0.751334	0.564503	0.015625	0.000244
-0.726655	0.528028	0.078125	0.006104
-0.739964	0.547546	0.046875	0.002197
-0.716882	0.513919	0.046875	0.002197
-0.730571	0.533734	0.031250	0.000977
-0.746074	0.556626	0.171875	0.029541
-0.721701	0.520853	0.062500	0.003906
-0.712072	0.507046	0.031250	0.000977
-0.725668	0.526594	0.031250	0.000977
-0.711566	0.506327	0.093750	0.008789
-0.720273	0.518793	0.015625	0.000244
-0.737452	0.543836	0.281250	0.079102
-0.739759	0.547243	0.031250	0.000977
-0.739207	0.546427	0.062500	0.003906
-0.711546	0.506298	0.015625	0.000244
-0.746623	0.557446	0.000000	0.000000
-0.736778	0.542842	0.140625	0.019775
-0.719320	0.517422	0.031250	0.000977
-0.759884	0.577424	0.078125	0.006104
-0.743876	0.553352	0.203125	0.041260
-0.729638	0.532371	0.078125	0.006104
-0.716158	0.512882	0.109375	0.011963
