# Energy	Energy^2	Magnetic	Magnet^2
-0.745404	0.555627	0.078125	0.006104
-0.723123	0.522907	0.125000	0.015625
-0.737124	0.543352	0.078125	0.006104
-0.732987	0.537270	0.125000	0.015625
-0.736205	0.541997	0.078125	0.006104
-0.734917	0.540102	0.218750	0.047852
-0.733744	0.538381	0.031250	0.000977
-0.761984	0.580619	0.109375	0.011963
-0.726792	0.528226	0.000000	0.000000
-0.721529	0.520604	0.109375	0.011963
-0.723920	0.524060	0.109375	0.011963
-0.730067	0.532998	0.031250	0.000977
-0.728608	0.530870	0.078125	0.006104
-0.728933	0.531344	0.015625	0.000244
-0.744122	0.553718	0.015625	0.000244
-0.717727	0.515132	0.000000	0.000000
-0.732122	0.536002	0.109375	0.011963
-0.712654	0.507875	0.062500	0.003906
-0.755232	0.570376	0.015625	0.000244
-0.735644	0.541172	0.000000	0.000000
-0.732650	0.536775	0.015625	0.000244
-0.726671	0.528050	0.062500	0.003906
-0.728681	0.530977	0.140625	0.019775
-0.720707	0.519419	0.015625	0.000244
-0.710526	0.504847	0.171875	0.029541
-0.751275	0.564415	0.062500	0.003906
-0.721132	0.520031	0.000000	0.000000
-0.730461	0.533573	0.046875	0.002197
-0.727044	0.528593	0.171875	0.029541
-0.761798	0.580336	0.031250	0.000977
-0.754023	0.568551	0.062500	0.003906
-0.751592	0.564890	0.125000	0.015625
-0.715052	0.511299	0.171875	0.029541
-0.743589	0.552925	0.109375	0.011963
-0.722519	0.522034	0.125000	0.015625
-0.754607	0.569431	0.093750	0.008789
-0.742312	0.551027	0.000000	0.000000
-0.740088	0.547731	0.093750	0.008789
-0.736083	0.541819	0.187500	0.035156
-0.753932	0.568413	0.109375	0.011963
-0.710909	0.505392	0.078125	0.006104
-0.707170	0.500090	0.015625	0.000244
-0.727259	0.528906	0.000000	0.000000
-0.727757	0.529630	0.031250	0.000977
-0.717676	0.515059	0.203125	0.041260
-0.744097	0.553680	0.062500	0.003906
-0.722201	0.521574	0.125000	0.015625
-0.753790	0.568200	0.046875	0.002197
-0.742122	0.550745	0.093750	0.008789
-0.757393	0.573645	0.031250	0.000977
-0.717387	0.514645	0.093750	0.008789
-0.742285	0.550987	0.093750	0.008789
-0.755833	0.571283	0.093750	0.008789
-0.755001	0.570026	0.031250	0.000977
-0.771102	0.594598	0.031250	0.000977
-0.742780	0.551722	0.000000	0.000000
-0.711225	0.505841	0.031250	0.000977
-0.768460	0.590531	0.015625	0.000244
-0.741493	0.549812	0.000000	0.000000
-0.717313	0.514538	0.140625	0.019775
-0.733632	0.538215	0.062500	0.003906
-0.727859	0.529778	0.203125	0.041260
-0.753822	0.568247	0.000000	0.000000
-0.739213	0.546435	0.078125	0.006104
-0.724165	0.524415	0.015625	0.000244
-0.733425	0.537913	0.046875	0.002197
-0.750601	0.563402	0.140625	0.019775
-0.736280	0.542108	0.109375	0.011963
-0.735220	0.540549	0.031250	0.000977
-0.728771	0.531107	0.015625	0.000244
-0.745947	0.556437	0.125000	0.015625
-0.719357	0.517475	0.046875	0.002197
-0.744054	0.553616	0.031250	0.000977
-0.708104	0.501411	0.062500	0.003906
-0.752151	0.565731	0.062500	0.003906
-0.758677	0.575592	0.000000	0.000000
-0.753082	0.567133	0.000000	0.000000
-0.733814	0.538483	0.031250	0.000977
-0.734042	0.538818	0.093750	0.008789
-0.735267	0.540617	0.046875	0.002197
-0.756502	0.572296	0.109375	0.011963
-0.775010	0.600641	0.062500	0.003906
-0.746780	0.557680	0.062500	0.003906
-0.726329	0.527554	0.062500	0.003906
-0.719597	0.517820	0.078125	0.006104
-0.751211	0.564319	0.015625	0.000244
